seq	heading	scan_start	scan_end	scan_span	printed_pages	illustration_or_divider	section_readme	formal_provenance_unit_ids	source_note_ids
020	புரிந்துகொண்டான்; பிரிந்துசென்றார்!	112	115	112–115	97–100	114	works/sangatamil/sections/020-purinthukondaan-pirinthu-sendraal/README.md	P021	
021	மயங்கா மார்புடை மறவன் நீயே!	116	120	116–120	101–105	118	works/sangatamil/sections/021-muyangaa-vaazhkkai-maravan-neeye/README.md	P022,P023	
022	வண்டு வந்தது ஏனடி?	121	125	121–125	106–110	122	works/sangatamil/sections/022-vandu-vanthathu-enadi/README.md	P024	
023	வலவன் ஏவா வான ஊர்தி!	126	130	126–130	111–115	128	works/sangatamil/sections/023-valavan-evaa-vaana-oorthi/README.md	P025	
024	தேனாகச் சொட்டும் : தேளாகக் கொட்டும்!	131	136	131–136	116–121	132	works/sangatamil/sections/024-thookkich-saadavum-thookkik-kottavum/README.md	P026	
025	இளையோன் எதற்கும் இளையான்!	137	142	137–142	122–127	138	works/sangatamil/sections/025-ilaiyaan-erinthum-ilaiyaan/README.md	P027	
026	குக்கூ! என்றது கோழி!	143	147	143–147	130–133 visible; scan 143 opener unnumbered	—	works/sangatamil/sections/026-kukkuu-endru-kelaai/README.md	P028,P029	
027	கவிஞர்கள் தெளித்த பன்னீரும் வடித்த கண்ணீரும்!	148	153	148–153	136–140 visible; scan 148 opener unnumbered	—	works/sangatamil/sections/027-kavignargal-ethirththa-pagaiyum-pazhiththa-kanaiyum/README.md	P030	
028	செவிலி தேடிய சித்திரப் பாவை!	154	158	154–158	141–145	156	works/sangatamil/sections/028-pasikkili-thediya-siththirap-paavai/README.md	P031	
029	பதிலை நெருப்பாக உமிழ்ந்த பாவாணர்!	159	164	159–164	146–151	160	works/sangatamil/sections/029-pathilai-neruppaaga-umizhndha-paavaanar/README.md	P032,P033,P034,P035,P036	
030	காடைப் போர் கண்டுவந்த கணவன்!	165	170	165–170	152–157	166	works/sangatamil/sections/030-kaavaippor-kanduvandha-kanavan/README.md	P037	
031	தகரோன் தந்த கனி!	171	174	171–174	158–161	172	works/sangatamil/sections/031-thagadooraan-thandha-kani/README.md	P038	
032	நீலமலை நீரினும் குளிர்ந்த நெஞ்சம்!	175	181	175–181	162–168	176	works/sangatamil/sections/032-neermagal-neerinum-kulirndha-nenjam/README.md	P039	
033	தலை கேட்டான் தம்பி!	182	187	182–187	169–174	184	works/sangatamil/sections/033-thalai-ketpaan-thambi/README.md	P040,P041	
034	அவள் நிலமானாள்; அவன் மழையானான்!	188	192	188–192	175–179	190	works/sangatamil/sections/034-aval-neelamagal-avan-mazhaiyaanan/README.md	P042	
035	ஆட்சியும் மாட்சியும்!	193	197	193–197	180–184	194	works/sangatamil/sections/035-aatchiyum-maatchiyum/README.md	P043	
036	பறம்புமலைப் பாவேந்தர்	198	202	198–202	185–189	200	works/sangatamil/sections/036-parambumalaip-paavendhar/README.md	P044,P045	
037	பிறந்த வீடும் புகுந்த வீடும்!	203	207	203–207	190–194	204	works/sangatamil/sections/037-pirandha-veedum-pugundha-veedum/README.md		N001
038	காவிரிநாடன் கரிகாலன்!	208	213	208–213	195–200	210	works/sangatamil/sections/038-kaaviri-naadan-karikaalan/README.md	P046	
039	இசையாகிவிட்டவள்!	214	217	214–217	201–204	216	works/sangatamil/sections/039-isaiyaagi-vittaval/README.md	P047	
040	போர்த்திசை நோக்கிய புலிப்போத்து!	218	221	218–221	205–208	220	works/sangatamil/sections/040-porthisai-nokkiya-pulippoththu/README.md	P048	
041	இங்கே வேண்டாம்... தங்கை இருக்கின்றாள்!	222	225	222–225	209–212	224	works/sangatamil/sections/041-ingae-vendaam-thangai-irukkindraal/README.md	P049	
042	பாரி மகளிர் பாடிய செய்யுள்	226	229	226–229	213–216	228	works/sangatamil/sections/042-paari-magalir-paadiya-seyyul/README.md	P050	
043	தாமரைப் பொய்கையில் (?) தவழ்ந்தது நிலவு!	230	235	230–235	217–222	232	works/sangatamil/sections/043-thaamaraip-poigaiyil-thavazhnthathu-nilavu/README.md	P051,P052	
044	காட்டில் பிறந்த கவிதை!	236	240	236–240	223–227	238	works/sangatamil/sections/044-kaattil-pirantha-kavithai/README.md	P053	
045	வாடைக் காற்றில் வாடிய காதலி!	241	244	241–244	228–231	242	works/sangatamil/sections/045-vaadai-kaatril-vaadiya-kaathali/README.md	P054	
046	வாளிங்கே-அவன் நாக்கெங்கே?	245	248	245–248	232–235	246	works/sangatamil/sections/046-vaalinge-avan-naakkenge/README.md	P055	
047	குறளனுக்கோர் கூனியுண்டு!	249	253	249–253	236–240	250	works/sangatamil/sections/047-kuralanukkor-kooniyundu/README.md	P056	
048	குப்பைக் கோழியார்!	254	257	254–257	241–244	256	works/sangatamil/sections/048-kuppai-kozhiyaar/README.md	P057	
049	பஞ்சணையில் அரசி; பாசறையில் மன்னன்!	258	262	258–262	245–250	—	works/sangatamil/sections/049-panjanaiyil-arasi-paasaraiyil-mannan/README.md		N002
050	பழி தீர்த்துப் பகை முடித்தாள்!	263	268	263–268	251–256	265	works/sangatamil/sections/050-pazhi-theerththu-pagai-mudiththaal/README.md	P058	
051	நாடு வாழவும் நலிவு தீரவும்...	269	272	269–272	257–260	271	works/sangatamil/sections/051-naadu-vaazhavum-nalivu-theeravum/README.md	P059	
052	அன்றைக்கே ஒரு கண்ணகி!	273	276	273–276	261–264	275	works/sangatamil/sections/052-andraikke-oru-kannagi/README.md		N003
053	எமக்குத் தென்றல்; எதிரிக்கோ புயல்!	277	280	277–280	265–268	279	works/sangatamil/sections/053-emakkuth-thendral-ethirikko-puyal/README.md	P060	
054	கிலு கிலுப்பை வழங்கும் கிறுகிறுப்பு!	281	284	281–284	269–272	283	works/sangatamil/sections/054-kilu-kiluppai-vazhangum-kirukiruppu/README.md	P061	
055	'இனம்' காட்டும் இயற்கைக் காட்சி!	285	287	285–287	273–275	286	works/sangatamil/sections/055-inam-kaattum-iyarkkaik-kaatchi/README.md	P062	
056	வெறியாடும் வேலன் எதற்காக?	288	291	288–291	276–279	289	works/sangatamil/sections/056-veriyaadum-velan-etharkaaga/README.md	P063	
057	ஒல்லையூரில் முல்லையோ?	292	295	292–295	280–283	293	works/sangatamil/sections/057-ollaiyooril-mullaiyo/README.md	P064	
058	மறு பிறப்பு உண்டென்றால் மறக்க நேரிடுமோ?	296	298	296–298	284–286	297	works/sangatamil/sections/058-maru-pirappu-undendraal-marakkap-neridumo/README.md	P065	
059	உண்பது நாழி; உடுப்பவை இரண்டே!	299	302	299–302	287–290	301	works/sangatamil/sections/059-unbathu-naazhi-uduppavai-irande/README.md	P066	
060	பரிபாடல்- பன்மலர்ப் பூங்கா!	303	308	303–308	291–296	305	works/sangatamil/sections/060-paripaadal-panmalar-poongaa/README.md	P067	
061	முரசு கட்டிலில் மோசுகீரனார்!	309	313	309–313	297–301	311	works/sangatamil/sections/061-murasu-kattilil-mosukeeranar/README.md	P068	
062	அடையாளம் தெரியாமல் அலையுதோ நெஞ்சம்!	314	317	314–317	302–305	315	works/sangatamil/sections/062-adaiyaalam-theriyaamal-alaiyutho-nenjam/README.md	P069	
063	கள் உண்ட கடுவன்!	318	322	318–322	306–310	319	works/sangatamil/sections/063-kal-unda-kaduvan/README.md	P070	
064	ஒரு கோடி வாழ்த்துக் கூறிடுவோம்!	323	327	323–327	311–315	325	works/sangatamil/sections/064-oru-kodi-vaazhththuk-kooriduvom/README.md	P071	
065	வீரனைப் பாடிய சேரன்!	328	332	328–332	316–320	329	works/sangatamil/sections/065-veeranai-paadiya-cheran/README.md	P072	
066	உற்றுழி உதவி உறுபொருள் கொடுத்திடுக!	333	337	333–337	321–325	335	works/sangatamil/sections/066-utruzhi-uthavi-uruporul-koduththiduga/README.md	P073	
067	தமிழ் நெஞ்சங்கள் போற்றிய தலையாலங்கானத்தான்!	338	341	338–341	326–329	339	works/sangatamil/sections/067-tamil-nenjangal-pootriya-thalaiyalangaanaththaan/README.md		N004
068	சென்று வா மகனே; செருமுனை நோக்கி!	342	346	342–346	330–334	343	works/sangatamil/sections/068-sendru-vaa-magane-serumunai-nokki/README.md	P074	
069	புதுப் பாட்டுப் புலவன்!	347	351	347–351	335–339	349	works/sangatamil/sections/069-pudhu-paattup-pulavan/README.md	P075	
070	மாமழை கண்ட மகிழ்ச்சி!	352	354	352–354	340–342	353	works/sangatamil/sections/070-mangai-kanda-magizhchi/README.md	P076	
071	பொய்யாகிப் போகாதோ?	355	357	355–357	343–345	356	works/sangatamil/sections/071-poyyaagip-pogaatho/README.md	P077	
072	சான்று கூறும் சரித்திர வரிகள்!	358	363	358–363	348–351 visible; scans 358–359 unnumbered	359 (mixed text + illustration)	works/sangatamil/sections/072-saanru-koorum-sariththira-varigal/README.md	P078	
073	பரிசப்பணம் வேண்டாம்... பரிசுப்பொருள் இதோ!	364	366	364–366	352–354	365	works/sangatamil/sections/073-parisappanam-vendaam-parisupporul-idho/README.md	P079	
074	உறவுடன் இணைந்து உயர்ந்து வாழ்க!	367	369	367–369	355–357	368	works/sangatamil/sections/074-uravudan-inaindhu-uyarndhu-vaazhga/README.md	P080	
075	கண்கண்ட சாட்சி உண்டோ?	370	372	370–372	358–360	371	works/sangatamil/sections/075-kankanda-saatchi-undo/README.md	P081	
076	ஓர் உவமை; இரு காட்சி!	373	376	373–376	361–364	375	works/sangatamil/sections/076-or-uvamai-iru-kaatchi/README.md	P082	
077	உச்சிக்குச் சென்ற நொச்சி!	377	379	377–379	365–367	378	works/sangatamil/sections/077-uchchikkuch-sendra-nocchi/README.md	P083	
078	பாறையில் உருகுது பசு வெண்ணெய்!	380	383	380–383	368–371	381	works/sangatamil/sections/078-paaraiyil-urugudhu-pasu-venney/README.md	P084	
079	தினைக் கதிரும் துதிக்கையும்!	384	386	384–386	372–374	385	works/sangatamil/sections/079-thinaik-kadhirum-thudhikkaiyum/README.md	P085	
080	நிறைவுக்கிடையே ஒரு குறையும் உளதே!	387	389	387–389	375–377	388	works/sangatamil/sections/080-niraivukkidaiye-oru-kuraiyum-uladhe/README.md	P086	
081	ஆடலேறு; மடலேறி வாவா?	390	392	390–392	378–380	391	works/sangatamil/sections/081-aadaleru-madalerhi-vaavaa/README.md	P087	
082	பல்லி சொல்லுக்குப் பலன்!	393	395	393–395	381–383	394	works/sangatamil/sections/082-palli-sollukkup-palan/README.md	P088	
083	பாசியும் பசலையும்!	396	398	396–398	384–386	397	works/sangatamil/sections/083-paasiyum-pasalaiyum/README.md	P089	
084	ஒருத்தி மட்டும் உறங்கவில்லை!	399	401	399–401	387–389	400	works/sangatamil/sections/084-oruththi-mattum-urangavillai/README.md	P090,P091	
085	நெஞ்சம் இனிக்கிறது; தஞ்சம்புகத் துடிக்கிறது!	402	405	402–405	390–393	403	works/sangatamil/sections/085-nenjam-inikkiradhu-thanjam-pugath-thudikkiradhu/README.md	P092	
086	மணித்தேரில் சென்ற மகன்!	406	408	406–408	394–396	407	works/sangatamil/sections/086-maniththeril-sendra-magan/README.md	P093	
087	ஆயமகன் குழலூதினான்!	409	412	409–412	397–400	411	works/sangatamil/sections/087-aayamaghan-kuzhaloodhinaan/README.md	P094	
088	சொல்வேன் கேளடி தோழி!	413	416	413–416	401–404	415	works/sangatamil/sections/088-solven-keladi-thozhi/README.md	P095	
089	இருவிழி மழையும் இதய மகிழ்வும்!	417	420	417–420	405–408	419	works/sangatamil/sections/089-iruvizhi-mazhaiyum-idhaya-magizhvvum/README.md	P096	
090	இன்ப விளக்கேற்ற எப்போது வருவாரோ?	421	424	421–424	409–412	423	works/sangatamil/sections/090-inba-vilakkettra-eppodhu-varuvaaro/README.md	P097	
091	ஒருதலைக் காதல்	425	425	425	unnumbered decorative divider	—	works/sangatamil/sections/091-oruthalaik-kaadhal-divider/README.md		
092	ஒருதலைக் காதல் — 1	426	431	426–431	414–419	427	works/sangatamil/sections/092-oruthalaik-kaadhal-01/README.md	P098	
093	ஒருதலைக் காதல் — 2	432	437	432–437	420–425	433	works/sangatamil/sections/093-oruthalaik-kaadhal-02/README.md	P099	
094	ஒருதலைக் காதல் — 3	438	444	438–444	426–432	439	works/sangatamil/sections/094-oruthalaik-kaadhal-03/README.md	P100	
095	ஒருதலைக் காதல் — 4	445	450	445–450	433–438	447	works/sangatamil/sections/095-oruthalaik-kaadhal-04/README.md	P101	
096	ஒருதலைக் காதல் — 5	451	455	451–455	439–443	453	works/sangatamil/sections/096-oruthalaik-kaadhal-05/README.md	P102	
097	ஒருதலைக் காதல் — 6	456	462	456–462	444–450	457	works/sangatamil/sections/097-oruthalaik-kaadhal-06/README.md	P103,P104	
098	ஒருதலைக் காதல் — 7	463	468	463–468	451–456	465	works/sangatamil/sections/098-oruthalaik-kaadhal-07/README.md	P105	
099	ஒருதலைக் காதல் — 8	469	475	469–475	457–463	471	works/sangatamil/sections/099-oruthalaik-kaadhal-08/README.md	P106,P107,P108,P109,P110	
100	ஒருதலைக் காதல் — 9	476	482	476–482	464–470	477	works/sangatamil/sections/100-oruthalaik-kaadhal-09/README.md	P111,P112,P113	
101	ஒருதலைக் காதல் — 10	483	490	483–490	471–478	485	works/sangatamil/sections/101-oruthalaik-kaadhal-10/README.md	P114	
102	ஒருதலைக் காதல் — 11	491	496	491–496	479–484	493	works/sangatamil/sections/102-oruthalaik-kaadhal-11/README.md	P115	
103	பின்புற அட்டை / back cover	497	497	497	unnumbered	—	works/sangatamil/sections/103-back-matter/README.md		
