id	record_type	anchor_scan	section_seq	section_heading	section_scan_span	source_work	poem_or_range	poet_or_attribution	composite_index	composite_count	anchor_page	section_readme	boundary_note
P073	formal-citation	337	066	உற்றுழி உதவி உறுபொருள் கொடுத்திடுக!	333–337	புறநானூறு	பாடல் : 183	ஆரியப்படை கடந்த நெடுஞ்செழியப் பாண்டியன்		1	pages/0337-utruzhi-uthavi-uruporul-koduththiduga-05.md	works/sangatamil/sections/066-utruzhi-uthavi-uruporul-koduththiduga/README.md	quotation/provenance/gloss scan 337
P074	formal-citation	346	068	சென்று வா மகனே; செருமுனை நோக்கி!	342–346	புறநானூறு	பாடல் : 279	ஒக்கூர் மாசாத்தியார்		1	pages/0346-sendru-vaa-magane-serumunai-nokki-05.md	works/sangatamil/sections/068-sendru-vaa-magane-serumunai-nokki/README.md	quotation/provenance/gloss scan 346
P075	formal-citation	350	069	புதுப் பாட்டுப் புலவன்!	347–351	புறநானூறு	பாடல் 194	பக்குடுக்கை நன்கணியார்		1	pages/0350-pudhu-paattup-pulavan-04.md	works/sangatamil/sections/069-pudhu-paattup-pulavan/README.md	quotation/provenance/gloss scan 350; printed குறிப்பு continues scan 351
P076	formal-citation	354	070	மாமழை கண்ட மகிழ்ச்சி!	352–354	அகநானூறு	பாடல் - 42 (களிற்றியானை நிரை)	கபிலர்		1	pages/0354-mangai-kanda-magizhchi-03.md	works/sangatamil/sections/070-mangai-kanda-magizhchi/README.md	quotation/provenance/gloss scan 354
P077	formal-citation	357	071	பொய்யாகிப் போகாதோ?	355–357	புறநானூறு	பாடல் - 233	வெள்ளெருக்கிலையார்		1	pages/0357-poyyaagip-pogaatho-03.md	works/sangatamil/sections/071-poyyaagip-pogaatho/README.md	quotation/provenance/gloss scan 357
P078	formal-citation	362	072	சான்று கூறும் சரித்திர வரிகள்!	358–363	அகநானூறு	பாடல் 77	மருதன் இளநாகனார்		1	pages/0362-saanru-koorum-sariththira-varigal-05.md	works/sangatamil/sections/072-saanru-koorum-sariththira-varigal/README.md	quotation/provenance scan 362; gloss scan 363
P079	formal-citation	366	073	பரிசப்பணம் வேண்டாம்... பரிசுப்பொருள் இதோ!	364–366	கலித்தொகை - (முல்லைக்கலி)	பாடல்: 3	சோழன் நல்லுருத்திரனார்		1	pages/0366-parisappanam-vendaam-parisupporul-idho-03.md	works/sangatamil/sections/073-parisappanam-vendaam-parisupporul-idho/README.md	quotation/provenance/gloss scan 366
P080	formal-citation	369	074	உறவுடன் இணைந்து உயர்ந்து வாழ்க!	367–369	புறநானூறு	பாடல் : 193	ஓரேருழவர்		1	pages/0369-uravudan-inaindhu-uyarndhu-vaazhga-03.md	works/sangatamil/sections/074-uravudan-inaindhu-uyarndhu-vaazhga/README.md	quotation/provenance/gloss scan 369
P081	formal-citation	372	075	கண்கண்ட சாட்சி உண்டோ?	370–372	குறுந்தொகை	பாடல் : 25	கபிலர்		1	pages/0372-kankanda-saatchi-undo-03.md	works/sangatamil/sections/075-kankanda-saatchi-undo/README.md	quotation/provenance/gloss scan 372
P082	formal-citation	374	076	ஓர் உவமை; இரு காட்சி!	373–376	பத்துப்பாட்டு - மதுரைக்காஞ்சி	375 முதல் 383 முடிய	மாங்குடி மருதனார்		1	pages/0374-or-uvamai-iru-kaatchi-02.md	works/sangatamil/sections/076-or-uvamai-iru-kaatchi/README.md	quotation/provenance scan 374; gloss closes scan 376
P083	formal-citation	379	077	உச்சிக்குச் சென்ற நொச்சி!	377–379	புறநானூறு	பாடல் - 271	வெறிபாடிய காமக்காணியார்		1	pages/0379-uchchikkuch-sendra-nocchi-03.md	works/sangatamil/sections/077-uchchikkuch-sendra-nocchi/README.md	quotation/provenance/gloss scan 379
P084	formal-citation	383	078	பாறையில் உருகுது பசு வெண்ணெய்!	380–383	குறுந்தொகை	பாடல் : 58	வெள்ளிவீதியார்		1	pages/0383-paaraiyil-urugudhu-pasu-venney-04.md	works/sangatamil/sections/078-paaraiyil-urugudhu-pasu-venney/README.md	quotation/provenance/gloss scan 383
P085	formal-citation	386	079	தினைக் கதிரும் துதிக்கையும்!	384–386	பத்துப்பாட்டு / குறிஞ்சிப்பாட்டு	35 வது வரி முதல் 39 வது முடிய	கபிலர்		1	pages/0386-thinaik-kadhirum-thudhikkaiyum-03.md	works/sangatamil/sections/079-thinaik-kadhirum-thudhikkaiyum/README.md	quotation/provenance/gloss scan 386
P086	formal-citation	389	080	நிறைவுக்கிடையே ஒரு குறையும் உளதே!	387–389	புறநானூறு	பாடல் : 188	பாண்டியன் அறிவுடை நம்பி		1	pages/0389-niraivukkidaiye-oru-kuraiyum-uladhe-03.md	works/sangatamil/sections/080-niraivukkidaiye-oru-kuraiyum-uladhe/README.md	quotation/provenance/gloss scan 389
P087	formal-citation	392	081	ஆடலேறு; மடலேறி வாவா?	390–392	குறுந்தொகை	பாடல் : 276	கோழிக்கொற்றன்		1	pages/0392-aadaleru-madalerhi-vaavaa-03.md	works/sangatamil/sections/081-aadaleru-madalerhi-vaavaa/README.md	quotation/provenance/gloss scan 392
P088	formal-citation	395	082	பல்லி சொல்லுக்குப் பலன்!	393–395	குறுந்தொகை	பாடல் : 16	பாலைபாடிய பெருங்கடுங்கோ		1	pages/0395-palli-sollukkup-palan-03.md	works/sangatamil/sections/082-palli-sollukkup-palan/README.md	quotation/provenance/gloss scan 395
P089	formal-citation	398	083	பாசியும் பசலையும்!	396–398	குறுந்தொகை	பாடல் 399	பரணர்		1	pages/0398-paasiyum-pasalaiyum-03.md	works/sangatamil/sections/083-paasiyum-pasalaiyum/README.md	quotation/provenance/gloss scan 398
P090	formal-citation	401	084	ஒருத்தி மட்டும் உறங்கவில்லை!	399–401	குறுந்தொகைப் பாடல்கள்	பாடல் : 5	நரிவெரூஉத் தலையார்	1	2	pages/0401-oruththi-mattum-urangavillai-03.md	works/sangatamil/sections/084-oruththi-mattum-urangavillai/README.md	two distinct units + shared gloss scan 401
P091	formal-citation	401	084	ஒருத்தி மட்டும் உறங்கவில்லை!	399–401	குறுந்தொகைப் பாடல்கள்	பாடல் : 6	பதுமனார்	2	2	pages/0401-oruththi-mattum-urangavillai-03.md	works/sangatamil/sections/084-oruththi-mattum-urangavillai/README.md	two distinct units + shared gloss scan 401
P092	formal-citation	404	085	நெஞ்சம் இனிக்கிறது; தஞ்சம்புகத் துடிக்கிறது!	402–405	குறுந்தொகை	பாடல் : 60	பரணர்		1	pages/0404-nenjam-inikkiradhu-thanjam-pugath-thudikkiradhu-03.md	works/sangatamil/sections/085-nenjam-inikkiradhu-thanjam-pugath-thudikkiradhu/README.md	quotation/provenance scan 404; gloss scan 405
P093	formal-citation	408	086	மணித்தேரில் சென்ற மகன்!	406–408	புறநானூறு	பாடல் : 296	வெள்ளைமாறனார்		1	pages/0408-maniththeril-sendra-magan-03.md	works/sangatamil/sections/086-maniththeril-sendra-magan/README.md	quotation/provenance/gloss scan 408
P094	formal-citation	412	087	ஆயமகன் குழலூதினான்!	409–412	கலித்தொகை : முல்லைக்கலி	101, 103, 106 ஆகிய பாடல்களிலிருந்து	நல்லுத்திரனார்		1	pages/0412-aayamaghan-kuzhaloodhinaan-04.md	works/sangatamil/sections/087-aayamaghan-kuzhaloodhinaan/README.md	single composite provenance block + gloss scan 412
P095	formal-citation	416	088	சொல்வேன் கேளடி தோழி!	413–416	கலித்தொகை	பாடல் : 51	கபிலர்		1	pages/0416-solven-keladi-thozhi-04.md	works/sangatamil/sections/088-solven-keladi-thozhi/README.md	quotation/provenance/gloss scan 416
P096	formal-citation	420	089	இருவிழி மழையும் இதய மகிழ்வும்!	417–420	புறநானூறு	பாடல் : 277	பூங்கண் உத்திரையார்		1	pages/0420-iruvizhi-mazhaiyum-idhaya-magizhvvum-04.md	works/sangatamil/sections/089-iruvizhi-mazhaiyum-idhaya-magizhvvum/README.md	quotation/provenance/gloss scan 420
P097	formal-citation	424	090	இன்ப விளக்கேற்ற எப்போது வருவாரோ?	421–424	குறுந்தொகை	பாடல் : 220	ஒக்கூர் மாசாத்தியார் (பெண்பாற் புலவர்)		1	pages/0424-inba-vilakkettra-eppodhu-varuvaaro-04.md	works/sangatamil/sections/090-inba-vilakkettra-eppodhu-varuvaaro/README.md	quotation/provenance/gloss scan 424
P098	formal-citation	430	092	ஒருதலைக் காதல் — 1	426–431	புறநானூறு	பாடல் : 82	சாத்தந்தையார்		1	pages/0430-oruthalaik-kaadhal-01-05.md	works/sangatamil/sections/092-oruthalaik-kaadhal-01/README.md	quotation/provenance scan 430; explanation/gloss closes scan 431
P099	formal-citation	434	093	ஒருதலைக் காதல் — 2	432–437	புறநானூறு	பாடல் : 85	நற்கண்ணையார்		1	pages/0434-oruthalaik-kaadhal-02-03.md	works/sangatamil/sections/093-oruthalaik-kaadhal-02/README.md	quotation/provenance scan 434; gloss closes scan 437
P100	formal-citation	443	094	ஒருதலைக் காதல் — 3	438–444	புறநானூறு	பாடல் : 84	நற்கண்ணையார்		1	pages/0443-oruthalaik-kaadhal-03-05.md	works/sangatamil/sections/094-oruthalaik-kaadhal-03/README.md	quotation/provenance scan 443; gloss scan 444
P101	formal-citation	449	095	ஒருதலைக் காதல் — 4	445–450	புறநானூறு	பாடல் : 81	சாத்தந்தையார்		1	pages/0449-oruthalaik-kaadhal-04-04.md	works/sangatamil/sections/095-oruthalaik-kaadhal-04/README.md	quotation/provenance scan 449; gloss scan 450
P102	formal-citation	455	096	ஒருதலைக் காதல் — 5	451–455	நற்றிணை	பாடல் : 87	நற்கண்ணையார்		1	pages/0455-oruthalaik-kaadhal-05-04.md	works/sangatamil/sections/096-oruthalaik-kaadhal-05/README.md	quotation/provenance/gloss scan 455
P103	formal-citation	462	097	ஒருதலைக் காதல் — 6	456–462	புறநானூறு	பாடல் : 83	நற்கண்ணையார்	1	2	pages/0462-oruthalaik-kaadhal-06-06.md	works/sangatamil/sections/097-oruthalaik-kaadhal-06/README.md	two distinct units + shared gloss scan 462
P104	formal-citation	462	097	ஒருதலைக் காதல் — 6	456–462	அகநானூறு	பாடல் : 252	நற்கண்ணையார்	2	2	pages/0462-oruthalaik-kaadhal-06-06.md	works/sangatamil/sections/097-oruthalaik-kaadhal-06/README.md	two distinct units + shared gloss scan 462
P105	formal-citation	468	098	ஒருதலைக் காதல் — 7	463–468	நற்றிணை	பாடல் : 19	நற்கண்ணையார்		1	pages/0468-oruthalaik-kaadhal-07-05.md	works/sangatamil/sections/098-oruthalaik-kaadhal-07/README.md	quotation/provenance/gloss scan 468
P106	formal-citation	474	099	ஒருதலைக் காதல் — 8	469–475	நற்றிணை	பாடல் : 58	முதுகூற்றனார்	1	2	pages/0474-oruthalaik-kaadhal-08-05.md	works/sangatamil/sections/099-oruthalaik-kaadhal-08/README.md	numbered units 1–2; shared gloss after units 3–5 scan 475
P107	formal-citation	474	099	ஒருதலைக் காதல் — 8	469–475	புறநானூறு	பாடல் : 395	நக்கீரர்	2	2	pages/0474-oruthalaik-kaadhal-08-05.md	works/sangatamil/sections/099-oruthalaik-kaadhal-08/README.md	numbered units 1–2; shared gloss after units 3–5 scan 475
P108	formal-citation	475	099	ஒருதலைக் காதல் — 8	469–475	அகநானூறு	பாடல் : 6	பரணர்	1	3	pages/0475-oruthalaik-kaadhal-08-06.md	works/sangatamil/sections/099-oruthalaik-kaadhal-08/README.md	numbered units 3–5; shared gloss scan 475
P109	formal-citation	475	099	ஒருதலைக் காதல் — 8	469–475	புறநானூறு	பாடல் : 352	பரணர்	2	3	pages/0475-oruthalaik-kaadhal-08-06.md	works/sangatamil/sections/099-oruthalaik-kaadhal-08/README.md	numbered units 3–5; shared gloss scan 475
P110	formal-citation	475	099	ஒருதலைக் காதல் — 8	469–475	புறநானூறு	பாடல் : 86	காவற்பெண்டு	3	3	pages/0475-oruthalaik-kaadhal-08-06.md	works/sangatamil/sections/099-oruthalaik-kaadhal-08/README.md	numbered units 3–5; shared gloss scan 475
P111	formal-citation	481	100	ஒருதலைக் காதல் — 9	476–482	அகநானூறு	பாடல் : 113	கல்லாடனார்		1	pages/0481-oruthalaik-kaadhal-09-05.md	works/sangatamil/sections/100-oruthalaik-kaadhal-09/README.md	numbered unit 1 on scan 481 (C2 restored its missing final quoted line); units 2–3 + shared gloss scan 482
P112	formal-citation	482	100	ஒருதலைக் காதல் — 9	476–482	குறுந்தொகை	பாடல் : 11	மாமூலனார்	1	2	pages/0482-oruthalaik-kaadhal-09-06.md	works/sangatamil/sections/100-oruthalaik-kaadhal-09/README.md	numbered units 2–3 + shared gloss scan 482
P113	formal-citation	482	100	ஒருதலைக் காதல் — 9	476–482	புறநானூறு	பாடல் : 352	பரணர்	2	2	pages/0482-oruthalaik-kaadhal-09-06.md	works/sangatamil/sections/100-oruthalaik-kaadhal-09/README.md	numbered units 2–3 + shared gloss scan 482
P114	formal-citation	489	101	ஒருதலைக் காதல் — 10	483–490	அகநானூறு	பாடல் : 226	பரணர்		1	pages/0489-oruthalaik-kaadhal-10-06.md	works/sangatamil/sections/101-oruthalaik-kaadhal-10/README.md	quotation/provenance scan 489; gloss scan 490
P115	formal-citation	496	102	ஒருதலைக் காதல் — 11	491–496	அகநானூறு	பாடல் : 252	நக்கண்ணையார்		1	pages/0496-oruthalaik-kaadhal-11-05.md	works/sangatamil/sections/102-oruthalaik-kaadhal-11/README.md	final body citation after (முற்றும்); gloss scan 496; scan 497 back cover
N001	source-note-only	207	037	பிறந்த வீடும் புகுந்த வீடும்!	203–207	சங்க இலக்கியத் தொகுப்புக்களில் இணைக்கப்படாமல் விடுபட்டுப்போன பாடல்	—	தேவநேயப்பாவாணர்; source supplied by முனைவர் தமிழ்க்குடிமகன்			pages/0207-pirandha-veedum-pugundha-veedum-05.md	works/sangatamil/sections/037-pirandha-veedum-pugundha-veedum/README.md	standalone source-note provenance; not formal citation count
N002	source-note-only	262	049	பஞ்சணையில் அரசி; பாசறையில் மன்னன்!	258–262	“நெடுநல்வாடை”	—	சங்கப்புலவர் நக்கீரர்			pages/0262-panjanaiyil-arasi-paasaraiyil-mannan-05.md	works/sangatamil/sections/049-panjanaiyil-arasi-paasaraiyil-mannan/README.md	standalone source-basis note; not formal citation count
N003	source-note-only	276	052	அன்றைக்கே ஒரு கண்ணகி!	273–276	புறநானூறு	பாடல்கள் - 142, 143, 144, 146, 147	முறையே பரணர், கபிலர், பரணர், அரிசில்கிழார், பெருங்குன்றூர்கிழார்			pages/0276-andraikke-oru-kannagi-04.md	works/sangatamil/sections/052-andraikke-oru-kannagi/README.md	standalone multi-poem source-note provenance; not formal citation count
N004	source-note-only	341	067	தமிழ் நெஞ்சங்கள் போற்றிய தலையாலங்கானத்தான்!	338–341	அகநானூறு / புறநானூறு	அகநானூறு 36; புறநானூறு 25, 76, 19, 24, 26	நக்கீரர்; கல்லாடனார்; இடைக்குன்றூர்க் கிழார்; குடபுலவியனார்; மாங்குடி மருதனார்			pages/0341-tamil-nenjangal-pootriya-thalaiyalangaanaththaan-04.md	works/sangatamil/sections/067-tamil-nenjangal-pootriya-thalaiyalangaanaththaan/README.md	standalone multi-source note; not formal citation count
