entry	contents_key	printed_span	scan_span	expected_kural_count	evidence	status
20	அற்றார் அழிபசி	57–58	74–75	1	Ch 23 ஈகை / Kural 226	RESOLVED
21	அல்லற்பட்டு ஆற்றாது	59–60	76–77	1	Ch 56 கொடுங்கோன்மை / Kural 555	RESOLVED
22	ஒஒ இனிதே	61–61	78–78	1	Ch 118 கண்விதுப்பழிதல் / Kural 1176	RESOLVED
23	இழத்தொறூஉம் காதலிக்கும்	62–63	79–80	1	Ch 94 சூது / Kural 940	RESOLVED
24	அவர்தந்தார் என்னும்	64–65	81–82	1	Ch 119 பசப்புறுபருவரல் / Kural 1182	RESOLVED
25	வேலன்று வென்றி	66–67	83–84	1	Ch 55 செங்கோன்மை / Kural 546	RESOLVED
26	நனவென ஒன்றில்லை	68–69	85–86	1	Ch 122 கனவுநிலையுரைத்தல் / Kural 1216	RESOLVED
27	இறந்தமைந்த சார்புடைய	70–71	87–88	1	Ch 90 பெரியாரைப் பிழையாமை / Kural 900	RESOLVED
28	அ. காமமும் நாணும் / ஆ. கரத்தலும் ஆற்றேன் இந் / இ. புல்லிக் கிடந்தேன்	72–73	89–90	3	Ch 117 படர்மெலிந்திரங்கல் / Kurals 1163, 1162 || Ch 119 பசப்புறுபருவரல் / Kural 1187	RESOLVED
29	கனை கொடிது யாழ்கோடு	74–75	91–92	1	Ch 28 கூடாவொழுக்கம் / Kural 279	RESOLVED
30	அ. மறைப்பெறல் ஊரார்க்கு / ஆ. வாராக்கால் துஞ்சா	76–77	93–94	2	Ch 118 கண் விதுப்பழிதல் / Kurals 1180, 1179	RESOLVED
31	கண்ணுடையர் என்பவர்	78–79	95–96	1	Ch 40 கல்வி / Kural 393	RESOLVED
32	அ. சிறுமை நமக்கொழிய / ஆ. முயக்கிடைத் தண்வளி	80–81	97–98	2	Ch 124 உறுப்புநலனழிதல் / Kurals 1231, 1239	RESOLVED
33	நெடுநீர் மறவி	82–84	99–101	1	Ch 61 மடி இன்மை / Kural 605	RESOLVED
34	புலப்பல் எனச் சென்றேன்	85–86	102–103	1	Ch 126 நிறையழிதல் / Kural 1259	RESOLVED
35	அமரகத்து ஆற்றறுக்கும்	87–88	104–105	1	Ch 82 தீ நட்பு / Kural 814	RESOLVED
36	செல்விடத்துக் காப்பான்	89–90	106–107	1	Ch 31 வெகுளாமை / Kural 301	RESOLVED
37	வாளாற்றுப் புற்கென்ற	91–91	108–108	1	Ch 127 அவர்வயின் விதும்பல் / Kural 1261	RESOLVED
38	அ. விரைந்து தொழில்கேட்கும் / ஆ. இணரூழ்த்தும் நாறா	92–94	109–111	2	Ch 65 சொல்வன்மை / Kurals 648, 650	RESOLVED
39	ஊடுதல் காமத்திற்கு	95–96	112–113	1	Ch 133 ஊடலுவகை / Kural 1330	RESOLVED
40	நுண்மாண் நுழைபுலம்	97–98	114–115	1	Ch 41 கல்லாமை / Kural 407	RESOLVED
41	உள்ளக் களித்தலும்	99–99	116–116	1	Ch 129 புணர்ச்சி விதும்பல் / Kural 1281	RESOLVED
42	அ. பொய்மையும் வாய்மை / ஆ. தன்னெஞ் சறிவது	100–101	117–118	2	Ch 30 வாய்மை / Kurals 292, 293	RESOLVED
43	எழுதுங்கால் கோல்காணா	102–103	119–120	1	Ch 129 புணர்ச்சி விதும்பல் / Kural 1285	RESOLVED
44	தேரான் தெளிவும்	104–106	121–123	1	Ch 51 தெரிந்து தெளிதல் / Kural 510	RESOLVED
45	அவர்நெஞ்சு அவர்க்காதல்	107–108	124–125	1	Ch 130 நெஞ்சொடு புலத்தல் / Kural 1291	RESOLVED
46	அ. என்பி லதனை / ஆ. தொழுத கையுள்ளும்	109–110	126–127	2	scan 127 quotes `என்பு இலதனை வெயில்போலக் காயுமே...` with **no explicit Chapter/Kural metadata in the audited page record**; same scan closes `தொழுத கையுள்ளும்...` with Ch 83 கூடா நட்பு / Kural 828	PARTIAL-SOURCE-METADATA
47	அ. வழுத்தினாள் தும்மினேன் / ஆ. ஊடி யிருந்தேமா	111–112	128–129	2	Ch 132 புலவி நுணுக்கம் / Kurals 1317, 1312	RESOLVED
48	இனிய உளவாக	113–114	130–131	1	Ch 10 இனியவை கூறல் / Kural 100	RESOLVED
49	அ. கோட்டுப்பூச் சூடினும் / ஆ. நினைத்திருந்து நோக்கினும்	115–116	132–133	2	Ch 132 புலவி நுணுக்கம் / Kurals 1313, 1320	RESOLVED
50	செவியிற் சுவையுணரா	117–118	134–135	1	Ch 42 கேள்வி / Kural 420	RESOLVED
51	காதலர் இல்வழி	119–120	136–137	1	Ch 123 பொழுதுகண்டு இரங்கல் / Kural 1224	RESOLVED
52	பகல்வெல்லும் கூகையை	121–122	138–139	1	Ch 49 காலம் அறிதல் / Kural 481	RESOLVED
53	கண்ணும் கொளச்சேறி	123–124	140–141	1	Ch 125 நெஞ்சொடு கிளத்தல் / Kural 1244	RESOLVED
54	புறங்குன்றி கண்டனையார்	125–126	142–143	1	Ch 28 கூடா ஒழுக்கம் / Kural 277	RESOLVED
55	கண்டு மன்னும்	127–128	144–145	1	Ch 115 அலர் அறிவுறுத்தல் / Kural 1146	RESOLVED
56	நன்றாற்ற லுள்ளும்	129–130	146–147	1	Ch 47 தெரிந்து செயல்வகை / Kural 469	RESOLVED
57	விடாஅது சென்றாரை	131–132	148–149	1	Ch 121 நினைந்தவர் புலம்பல் / Kural 1210	RESOLVED
58	அ. அறன்கடை நின்றாருள் / ஆ. எளிதென இல்லிறப்பான்	133–135	150–152	2	Ch 15 பிறனில் விழையாமை / Kurals 142, 145	RESOLVED
59	கலந்துணர்த்தும் காதலர்	136–136	153–153	1	Ch 125 நெஞ்சொடு கிளத்தல் / Kural 1246	RESOLVED
60	உணலினும் உண்டது	137–138	154–155	1	Ch 133 ஊடலுவகை / Kural 1326	RESOLVED
61	எப்பொருள் யார்யார்வாய்	139–140	156–157	1	Ch 43 அறிவுடைமை / Kural 423	RESOLVED
62	செல்லாமை உண்டேல்	141–142	158–159	1	Ch 116 பிரிவாற்றாமை / Kural 1151	RESOLVED
63	காலாழ் களரின்	143–144	160–161	1	Ch 50 இடனறிதல் / Kural 500	RESOLVED
64	துன்னியார் குற்றமும்	145–146	162–163	1	Ch 19 புறங்கூறாமை / Kural 188	RESOLVED
65	ஒருதலையான் இன்னாது	147–148	164–165	1	Ch 120 தனிப்படர்மிகுதி / Kural 1196	RESOLVED
66	தாளாண்மை இல்லாதான்	149–150	166–167	1	Ch 62 ஆள்வினையுடைமை / Kural 614	RESOLVED
67	கெட்டார்க்கு நட்டாரில்	151–152	168–169	1	Ch 130 நெஞ்சொடு புலத்தல் / Kural 1293	RESOLVED
68	பெயக்கண்டும் நஞ்சுண்டு	153–154	170–171	1	Ch 58 கண்ணோட்டம் / Kural 580	RESOLVED
69	பெண்ணினால் பெண்மை	155–156	172–173	1	Ch 128 குறிப்பறிவுறுத்தல் / Kural 1280	RESOLVED
70	சிதைவிடத்து ஒல்கார்	157–158	174–175	1	Ch 60 ஊக்கம் உடைமை / Kural 597	RESOLVED
71	அ. கொடியார் கொடுமையின் / ஆ. மன்னுயிர் எல்லாம்	159–161	176–178	2	Ch 117 படர்மெலிந்திரங்கல் / Kurals 1168, 1169	RESOLVED
72	அ. இடுக்கண் வருங்கால் / ஆ. ஒன்றொன்றித் தந்த	162–163	179–180	2	Ch 63 இடுக்கண் அழியாமை / Kural 621 || Ch 59 ஒற்றாடல் / Kural 588	RESOLVED
73	உள்ளினேன் என்றேன்	164–166	181–183	1	Ch 132 புலவி நுணுக்கம் / Kural 1316	RESOLVED
74	அ. ஊழிற் பெருவலி / ஆ. ஊழையும் உப்பக்கம்	167–169	184–186	2	Ch 38 ஊழ் / Kural 380 || Ch 62 ஆள்வினையுடைமை / Kural 620	RESOLVED
75	புன்கண்ணை வாழி	170–171	187–188	1	Ch 123 பொழுதுகண்டிரங்கல் / Kural 1222	RESOLVED
76	வெள்ளத் தனைய	172–173	189–190	1	Ch 63 இடுக்கண் அழியாமை / Kural 622	RESOLVED
77	அ. இல்லை தவறவர்க்கு / ஆ. புலத்தலின் புத்தேள்நாடு	174–175	191–192	2	Ch 133 ஊடலுவகை / Kurals 1321, 1323	RESOLVED
78	சாதலின் இன்னாது	176–177	193–194	1	Ch 23 ஈகை / Kural 230	RESOLVED
79	அ. ஒண்ணுதற் கோழ / ஆ. கடாஅக் களிற்றின்மேல் / இ. நோக்கினாள் நோக்கெதிர்	178–179	195–196	3	Ch 109 தகையணங்குறுத்தல் / Kurals 1088, 1087, 1082	RESOLVED
80	இன்பத்துள் இன்பம்	180–182	197–199	1	Ch 63 இடுக்கண் அழியாமை / Kural 629	RESOLVED
81	வீழும் இருவர்க்கு	183–184	200–201	1	Ch 111 புணர்ச்சி மகிழ்தல் / Kural 1108	RESOLVED
82	கைவேல் களிற்றொடு	185–187	202–204	1	Ch 78 படைச்செருக்கு / Kural 774	RESOLVED
83	நெய்யால் எரிநுதுப்போம்	188–189	205–206	1	Ch 115 அலர் அறிவுறுத்தல் / Kural 1148	RESOLVED
84	அ. விழுப்புண் படாத / ஆ. விழித்தகண் வேல்கொண்டு	190–191	207–208	2	Ch 78 படைச்செருக்கு / Kurals 776, 775	RESOLVED
85	உளம்போன்று உள்வழி	192–193	209–210	1	Ch 117 படர்மெலிந்திரங்கல் / Kural 1170	RESOLVED
86	அறிவினுள் எல்லாம்	194–195	211–212	1	Ch 21 தீவினையச்சம் / Kural 203	RESOLVED
87	நாணும் மறந்தேன்	196–197	213–214	1	Ch 130 நெஞ்சொடு புலத்தல் / Kural 1297	RESOLVED
88	புறந்தார்கண் நீர்மல்க	198–199	215–216	1	Ch 78 படைச் செருக்கு / Kural 780	RESOLVED
89	உப்பமைந்தற்றால்	200–201	217–218	1	Ch 131 புலவி / Kural 1302	RESOLVED
90	கெடுங்காலைக் கைவிடுவார்	202–203	219–220	1	Ch 80 நட்பாராய்தல் / Kural 799	RESOLVED
91	செறிதொடி செய்திறந்த	204–205	221–222	1	Ch 128 குறிப்பறிவுறுத்தல் / Kural 1275	RESOLVED
92	அ. மையல் ஒருவன் / ஆ. பெரிதினிது பேதையார்	206–207	223–224	2	Ch 84 பேதைமை / Kurals 838, 839	RESOLVED
93	அ. நினைப்பவர் போன்று / ஆ. தும்முச் செறுப்ப / இ. மறைப்பேன்மன் யான்	208–209	225–226	3	Ch 121 நினைந்தவர் புலம்பல் / Kural 1203 || Ch 132 புலவி நுணுக்கம் / Kural 1318 || Ch 126 நிறையழிதல் / Kural 1253	RESOLVED
94	அ. அகழ்வாரைத் தாங்கும் / ஆ. அறன்நோக்கி ஆற்றும்கொல்	210–211	227–228	2	Ch 16 பொறையுடைமை / Kural 151 || Ch 19 புறங்கூறாமை / Kural 189	RESOLVED
95	நினைத்தொன்று சொல்லாயோ	212–213	229–230	1	Ch 125 நெஞ்சொடு கிளத்தல் / Kural 1241	RESOLVED
96	பொருட்பெண்டிர் பொய்ம்மை	214–215	231–232	1	Ch 92 வரைவின் மகளிர் / Kural 913	RESOLVED
97	கண்ணாம் கழும்வது	216–217	233–234	1	Ch 118 கண்விதுப்பழிதல் / Kural 1171	RESOLVED
98	மோப்பக் குழையும்	218–219	235–236	1	Ch 9 விருந்தோம்பல் / Kural 90	RESOLVED
99	அ. அறுவாய் நிறைந்த / ஆ. மாதர் முகம்போல்	220–221	237–238	2	Ch 112 நலம்புனைந்துரைத்தல் / Kurals 1117, 1118	RESOLVED
100	களித்தானைக் காரணம்	222–223	239–240	1	Ch 93 கள்ளுண்ணாமை / Kural 929	RESOLVED
101	விளக்கற்றம் பார்க்கும்	224–225	241–242	1	Ch 119 பசப்புறுபருவரல் / Kural 1186	RESOLVED
102	அ. சுழன்றும் ஏர்ப்பின்னது / ஆ. அமிழ்தினும் ஆற்ற	226–227	243–244	2	Ch 104 உழவு / Kural 1031 || Ch 7 மக்கட்பேறு / Kural 64	RESOLVED
103	அ. துனியும் புலவியும் / ஆ. நீரும் நிழலது	228–230	245–247	2	Ch 131 புலவி / Kurals 1306, 1309	RESOLVED
104	அ. உழுதுண்டு வாழ்வாரே / ஆ. வலியில் நிலைமையான்	231–232	248–249	2	scan 248 quotes `உழுதுண்டு வாழ்வாரே...` with **no explicit Chapter/Kural metadata in the audited page record**; scan 249 closes `வலியில் நிலைமையான்...` with Ch 28 கூடாவொழுக்கம் / Kural 273	PARTIAL-SOURCE-METADATA
105	அ. தினைத்துணையும் ஊடாமை / ஆ. ஊடற்கண் சென்றேன்மன் / இ. கண்ணின் துனித்தே	233–234	250–251	3	Ch 129 புணர்ச்சி விதும்பல் / Kurals 1282, 1284, 1290	RESOLVED
106	செல்லான் கிழவன்	235–236	252–253	1	Ch 104 உழவு / Kural 1039	RESOLVED
107	காமக் கணிச்சி	237–238	254–255	1	Ch 126 நிறையழிதல் / Kural 1251	RESOLVED
108	நெருப்பினுள் துஞ்சலும்	239–240	256–257	1	Ch 105 நல்குரவு / Kural 1049	RESOLVED
109	அ. கண்ணுள்ளின் போகார் / ஆ. உள்ளுவன் மன்னான்	241–242	258–259	2	Ch 113 காதற்சிறப்புரைத்தல் / Kurals 1126, 1125	RESOLVED
110	தீயினாற் சுட்டபுண்	243–244	260–261	1	Ch 13 அடக்கமுடைமை / Kural 129	RESOLVED
111	யாங்கண்ணின் காண	245–246	262–263	1	Ch 114 நாணுத் துறவுரைத்தல் / Kural 1140	RESOLVED
112	கேட்டினும் உண்டோர்	247–248	264–265	1	Ch 80 நட்பாராய்தல் / Kural 796	RESOLVED
113	நனவினால் நம்நீத்தார்	249–250	266–267	1	Ch 122 கனவுநிலை உரைத்தல் / Kural 1220	RESOLVED
114	ஒருத்தாரை ஒன்றாக	251–252	268–269	1	Ch 16 பொறையுடைமை / Kural 155	RESOLVED
115	ஊடலில் தோற்றவர்	253–254	270–271	1	Ch 133 ஊடலுவகை / Kural 1327	RESOLVED
116	ஒழுக்கம் உடைமை	255–256	272–273	1	Ch 14 ஒழுக்கமுடைமை / Kural 133	RESOLVED
117	புலப்பேன்கொல் புல்லுவேன்	257–258	274–275	1	Ch 127 அவர்வயின்விதும்பல் / Kural 1267	RESOLVED
118	நுனிக்கொம்பர் ஏறினார்	259–260	276–277	1	Ch 48 வலியறிதல் / Kural 476	RESOLVED
119	உய்த்தல் அறிந்து	261–262	278–279	1	Ch 129 புணர்ச்சி விதும்பல் / Kural 1287	RESOLVED
120	கழாஅக்கால் பள்ளியுள்	263–264	280–281	1	Ch 84 பேதைமை / Kural 840	RESOLVED
121	தம்மில் இருந்து	265–266	282–283	1	Ch 111 புணர்ச்சி மகிழ்தல் / Kural 1107	RESOLVED
122	இடிப்பாரை இல்லாத	267–268	284–285	1	Ch 45 பெரியாரைத் துணைக்கோடல் / Kural 448	RESOLVED
123	நகையுடையார் நல்கார்	269–270	286–287	1	Ch 120 தனிப்படர் மிகுதி / Kural 1199	RESOLVED
124	அ. பற்றி விடாஅது / ஆ. பற்றுக பற்றற்றான்	271–272	288–289	2	Ch 35 துறவு / Kurals 347, 350	RESOLVED
125	ஒருநாள் எழுநாள்போல்	273–274	290–291	1	Ch 127 அவர் வயின் விதும்பல் / Kural 1269	RESOLVED
126	பற்றற்ற கண்ணும்	275–276	292–293	1	Ch 53 சுற்றந் தழால் / Kural 521	RESOLVED
127	கூடிய காமம்	277–278	294–295	1	Ch 127 அவர் வயின் விதும்பல் / Kural 1264	RESOLVED
128	உலைவிடத்து ஊறஞ்சா	279–280	296–297	1	Ch 77 படைமாட்சி / Kural 762	RESOLVED
129	துஞ்சுங்கால் தோள்மேலர்	281–282	298–299	1	Ch 122 கனவு நிலை உரைத்தல் / Kural 1218	RESOLVED
130	மடியுளாள் மாமுகடி	283–285	300–302	1	Ch 62 ஆள்வினை உடைமை / Kural 617	RESOLVED
131	அ. செற்றவர் பின்சேறல் / ஆ. நினைந்தயில் இட்டன்ன / இ. நாணென ஒன்றோ	286–287	303–304	3	Ch 126 நிறையழிதல் / Kurals 1256, 1260, 1257	RESOLVED
132	பல்லார் முனிய	288–289	305–306	1	Ch 20 பயனில சொல்லாமை / Kural 191	RESOLVED
133	தஞ்சம் தமரல்லர்	290–291	307–308	1	Ch 130 நெஞ்சொடு புலத்தல் / Kural 1300	RESOLVED
134	அ. ஆக்கம் அதர்வினாய் / ஆ. மடுத்தவா யெல்லாம்	292–293	309–310	2	Ch 60 ஊக்கம் உடைமை / Kural 594 || Ch 63 இடுக்கண் அழியாமை / Kural 624	RESOLVED
135	காமம் விடு ஒன்றோ	294–295	311–312	1	Ch 125 நெஞ்சொடு கிளத்தல் / Kural 1247	RESOLVED
136	இலமென்று அசைஇ	296–297	313–314	1	Ch 104 உழவு / Kural 1040	RESOLVED
137	பசந்தாள் இவள்	298–299	315–316	1	Ch 119 பசப்புறு பருவரல் / Kural 1188	RESOLVED
138	அமைந்தாங் கொழுகான்	300–301	317–318	1	Ch 48 வலியறிதல் / Kural 474	RESOLVED
139	செறாஅச் சிறுசொல்லும்	302–304	319–321	1	Ch 110 குறிப்பறிதல் / Kural 1097	RESOLVED
140	அ. அளவறிந்து வாழாதான் / ஆ. உடைத்தம் வலியறியார்	305–306	322–323	2	Ch 48 வலியறிதல் / Kurals 479, 473	RESOLVED
141	சிறைகாக்குங் காப்புவன்	307–308	324–325	1	Ch 6 வாழ்க்கைத்துணைநலம் / Kural 57	RESOLVED
142	பண்டறியேன் கூற்றென்	309–310	326–327	1	Ch 109 தகையணங்குறுத்தல் / Kural 1083	RESOLVED
143	அற்றார்க்கொன்று ஆற்றாதான்	311–312	328–329	1	Ch 101 நன்றியில் செல்வம் / Kural 1007	RESOLVED
144	அழுக்காறு அவா வெகுளி	313–314	330–331	1	Ch 4 அறன் வலியுறுத்தல் / Kural 35	RESOLVED
145	கடுமொழியும் கையிகந்த	315–316	332–333	1	Ch 57 வெருவந்த செய்யாமை / Kural 567	RESOLVED
146	பெயலாற்றா நீருலந்த	317–318	334–335	1	Ch 118 கண்விதுப்பழிதல் / Kural 1174	RESOLVED
147	கொடுத்துங் கொள்ளவேண்டும்	319–320	336–337	1	Ch 87 பகைமாட்சி / Kural 867	RESOLVED
148	இன்னா செய்தாரை	321–322	338–339	1	Ch 32 இன்னா செய்யாமை / Kural 314	RESOLVED
149	தந்நெஞ்சத்து எம்மை	323–324	340–341	1	Ch 121 நினைந்தவர் புலம்பல் / Kural 1205	RESOLVED
150	ஆய்ந்தாய்ந்து கொள்ளாதான்	325–326	342–343	1	Ch 80 நட்பாராய்தல் / Kural 792	RESOLVED
