entry	contents_key	printed_span	scan_span	expected_kural_count	evidence	status
166	நிறைமொழி மாந்தர்	357–358	374–375	1	Ch 3 நீத்தார் பெருமை / Kural 28	RESOLVED
167	மேவிருந்தும் மேலல்லார்	359–360	376–377	1	Ch 98 பெருமை / Kural 973	RESOLVED
168	காலைக்குச் செய்த நன்று	361–362	378–379	1	Ch 123 பொழுதுகண்டு இரங்கல் / Kural 1225	RESOLVED
169	வசையெனப வையத்தார்க்கு	363–364	380–381	1	Ch 24 புகழ் / Kural 238	RESOLVED
170	பணியுமாம் என்றும்	365–366	382–383	1	Ch 98 பெருமை / Kural 978	RESOLVED
171	ஊடி யவரை	367–368	384–385	1	Ch 131 புலவி / Kural 1304	RESOLVED
172	நிறைநீர் நீரவர்	369–370	386–387	1	Ch 79 நட்பு / Kural 782	RESOLVED
173	துறந்தார் பெருமை	371–372	388–389	1	Ch 3 நீத்தார் பெருமை / Kural 22	RESOLVED
174	அ. இருபுனலும் வாய்ந்த / ஆ. உறுபசியும் ஓவா / இ. ஆங்கமை வெய்திய	373–374	390–391	3	Ch 74 அரணியல் / Kurals 737, 734, 740	RESOLVED
175	வினைகலந்து வென்றீக	375–376	392–393	1	Ch 127 அவர்வயின் விதும்பல் / Kural 1268	RESOLVED
176	மனைத்தக்க மாண்புடையள்	377–378	394–395	1	Ch 6 வாழ்க்கைத் துணை நலம் / Kural 51	RESOLVED
177	சாயலும் நாணும்	379–380	396–397	1	Ch 119 பசப்புறு பருவரல் / Kural 1183	RESOLVED
178	கல்லார்ப் பிணிக்கும்	381–382	398–399	1	Ch 57 வெருவந்த செய்யாமை / Kural 570	RESOLVED
179	துப்பார்க்குத் துப்பாய	383–384	400–401	1	Ch 2 வான் சிறப்பு / Kural 12	RESOLVED
180	காமக் கடும்புனல்	385–387	402–404	1	Ch 114 நாணுத் துறவுரைத்தல் / Kural 1134	RESOLVED
181	உறுவது சீர் தூக்கும்	388–390	405–407	1	Ch 82 தீ நட்பு / Kural 813	RESOLVED
182	தன்னுயிர்க்கு இன்னாமை	391–392	408–409	1	Ch 32 இன்னா செய்யாமை / Kural 318	RESOLVED
183	பன்மாயக் கள்வன்	393–394	410–411	1	Ch 126 நிறையழிதல் / Kural 1258	RESOLVED
184	நெடும்புனலுள் வெல்லும்	395–396	412–413	1	Ch 50 இடம் அறிதல் / Kural 495	RESOLVED
185	கெடுவல்யான் என்பது	397–398	414–415	1	Ch 12 நடுவுநிலைமை / Kural 116	RESOLVED
186	இன்கண் உடைத்தவர்	399–400	416–417	1	Ch 116 பிரிவாற்றாமை / Kural 1152	RESOLVED
187	அ. ஏற்றிற் குரியர் / ஆ. மக்களே போல்வர்	401–403	418–420	2	Ch 108 கயமை / Kurals 1080, 1071	RESOLVED
188	அ. நன்னீரை வாழி / ஆ. முறிமேனி முத்தம்	404–405	421–422	2	Ch 112 நலம்புனைந்துரைத்தல் / Kurals 1111, 1113	RESOLVED
189	வினைவலியும் தன்வலியும்	406–407	423–424	1	Ch 48 வலியறிதல் / Kural 471	RESOLVED
190	குணமென்னுங் குன்றேறி	408–409	425–426	1	Ch 3 நீத்தார் பெருமை / Kural 29	RESOLVED
191	அ. புல்லி விடாஅப் / ஆ. ஊடுக மன்னோ	410–411	427–428	2	Ch 133 ஊடலுவகை / Kurals 1324, 1329	RESOLVED
192	ஊக்கம் உடையான்	412–413	429–430	1	Ch 49 காலம் அறிதல் / Kural 486	RESOLVED
193	புறத்துறுப் பெல்லாம்	414–415	431–432	1	Ch 8 அன்புடைமை / Kural 79	RESOLVED
194	அ. நகையுள்ளும் இன்னாது / ஆ. பண்பிலான் பெற்ற	416–418	433–435	2	Ch 100 பண்புடைமை / Kurals 995, 1000	RESOLVED
195	வருகமன் கொண்கன்	419–420	436–437	1	Ch 127 அவர்வயின் விதும்பல் / Kural 1266	RESOLVED
196	கொக்கொக்கக் கூம்பும்	421–422	438–439	1	Ch 49 காலம் அறிதல் / Kural 490	RESOLVED
197	அரிதாற்றி அல்லல்நோய்	423–424	440–441	1	Ch 116 பிரிவாற்றாமை / Kural 1160	RESOLVED
198	உறின்நட்டு அறின் ஒரூஉம்	425–426	442–443	1	Ch 82 தீ நட்பு / Kural 812	RESOLVED
199	மனத்துக்கண் மாசிலன்	427–428	444–445	1	Ch 4 அறன்வலியுறுத்தல் / Kural 34	RESOLVED
200	கதுமெனத் தாம்நோக்கி	429–430	446–447	1	Ch 118 கண்விதுப்பழிதல் / Kural 1173	RESOLVED
201	இன்மையின் இன்னாது	431–432	448–449	1	Ch 56 கொடுங்கோன்மை / Kural 558	RESOLVED
202	ஈன்ற பொழுதின்	433–435	450–452	1	scan 452 closes the genuine 450→451→452 continuation with Ch 7 மக்கட்பேறு / Kural 69	RESOLVED
203	அ. கண்ணுள்ளார் காத / ஆ. இமைப்பின் கரப்பாக்கு	435–437	452–454	2	Ch 113 காதற் சிறப்புரைத்தல் / Kurals 1127, 1129	RESOLVED
204	மயிர்நீப்பின் வாழா	438–439	455–456	1	Ch 97 மானம் / Kural 969	RESOLVED
205	பயன்தூக்கார் செய்த	440–441	457–458	1	Ch 11 செய்ந்நன்றி யறிதல் / Kural 103	RESOLVED
206	ஏமுற்றவரினும்	442–444	459–461	1	Ch 88 பகைத்திறம் தெரிதல் / Kural 873	RESOLVED
207	முயங்கிய கைகளை	445–446	462–463	1	Ch 124 உறுப்புநலன் அழிதல் / Kural 1238	RESOLVED
208	செயற்கை அறிந்த	447–448	464–465	1	Ch 64 அமைச்சு / Kural 637	RESOLVED
209	கண்ணிறைந்த காரிகை	449–450	466–467	1	Ch 128 குறிப்பறிவுறுத்தல் / Kural 1272	RESOLVED
210	புறங்கூறிப் பொய்த்துயிர்	451–452	468–469	1	Ch 19 புறங்கூறாமை / Kural 183	RESOLVED
211	அணங்குகொல் ஆய்மயில்	453–454	470–471	1	Ch 109 தகையணங்குறுத்தல் / Kural 1081	RESOLVED
212	பகையகத்துப் பேடிகை	455–456	472–473	1	Ch 73 அவை அஞ்சாமை / Kural 727	RESOLVED
213	வசையிலா வண்பயன்	457–458	474–475	1	Ch 24 புகழ் / Kural 239	RESOLVED
214	இற்றிறந்தார் கண்ணேயும்	459–460	476–477	1	Ch 105 நல்குரவு / Kural 1044	RESOLVED
215	கொடும்புருவம் கோடா	461–461	478–478	1	Ch 109 தகையணங்குறுத்தல் / Kural 1086	RESOLVED
216	பணிவுடையன் இன்சொல்லன்	462–463	479–480	1	Ch 10 இனியவை கூறல் / Kural 95	RESOLVED
217	நிலத்தியல்பால் நீர்திரிந்து	464–465	481–482	1	Ch 46 சிற்றினம் சேராமை / Kural 452	RESOLVED
218	அறிதோறு அறியாமை	466–467	483–484	1	Ch 111 புணர்ச்சி மகிழ்தல் / Kural 1110	RESOLVED
219	அங்கணத்துள் உக்க	468–469	485–486	1	Ch 72 அவை அறிதல் / Kural 720	RESOLVED
220	ஐந்தவித்தான் ஆற்றல்	470–471	487–488	1	Ch 3 நீத்தார் பெருமை / Kural 25	RESOLVED
221	சலத்தால் பொருள் செய்து	472–473	489–490	1	Ch 66 வினைத்தூய்மை / Kural 660	RESOLVED
222	இன்பம் கடல்மற்று	474–475	491–492	1	Ch 117 படர்மெலிந்திரங்கல் / Kural 1166	RESOLVED
223	கல்லாதான் சொற்கா	476–477	493–494	1	Ch 41 கல்லாமை / Kural 402	RESOLVED
224	அன்பிற்கும் உண்டோ	478–479	495–496	1	Ch 8 அன்புடைமை / Kural 71	RESOLVED
225	வினையால் வினையாக்கி	480–481	497–498	1	Ch 68 வினைசெயல்வகை / Kural 678	RESOLVED
226	நிறையரியர் மன் அளியர்	482–483	499–500	1	Ch 114 நாணுத்துறவுரைத்தல் / Kural 1138	RESOLVED
227	எதிரார் குற்றம் போல்	484–485	501–502	1	Ch 19 புறங்கூறாமை / Kural 190	RESOLVED
228	உறாஅது தவர்போல்	486–487	503–504	1	Ch 110 குறிப்பறிதல் / Kural 1096	RESOLVED
229	ஆக்கமுங் கேடும்	488–489	505–506	1	Ch 65 சொல் வன்மை / Kural 642	RESOLVED
230	செற்றார்பின் செல்லா	490–491	507–508	1	Ch 126 நிறையழிதல் / Kural 1255	RESOLVED
231	ஊழி பெயரினும்	492–493	509–510	1	Ch 99 சான்றாண்மை / Kural 989	RESOLVED
232	உள்ளத்தார் காதலர்	494–495	511–512	1	Ch 125 நெஞ்சொடு கிளத்தல் / Kural 1249	RESOLVED
233	துன்பம் உறவரினும்	496–498	513–515	1	Ch 67 வினைத்திட்பம் / Kural 669	RESOLVED
234	கூற்றம் குதித்தலும்	499–500	516–517	1	Ch 27 தவம் / Kural 269	RESOLVED
235	வெருவந்த செய் தொழுகும்	501–502	518–519	1	Ch 57 வெருவந்தசெய்யாமை / Kural 563	RESOLVED
236	இனித்தக்க இன்னா	503–504	520–521	1	Ch 129 புணர்ச்சி விதும்பல் / Kural 1288	RESOLVED
237	நாண்அகத் தில்லார்	505–506	522–523	1	Ch 102 நாணுடைமை / Kural 1020	RESOLVED
238	எந்தன்றி கொன்றார்க்கும்	507–509	524–526	1	Ch 11 செய்ந்நன்றி அறிதல் / Kural 110	RESOLVED
239	செவிகைப்பச் சொற்பொறுக்கும்	510–511	527–528	1	Ch 39 இறைமாட்சி / Kural 389	RESOLVED
240	கண்டுகேட்டு உண்டுயிர்த்து	512–513	529–530	1	Ch 111 புணர்ச்சி மகிழ்தல் / Kural 1101	RESOLVED
241	கருமம் செயவொருவன்	514–515	531–532	1	Ch 103 குடி செயல்வகை / Kural 1021	RESOLVED
242	உரமொருவற்கு உள்ள	516–517	533–534	1	Ch 60 ஊக்கம் உடைமை / Kural 600	RESOLVED
243	உயிர்உடம்பின் நீக்கியார்	518–519	535–536	1	Ch 33 கொல்லாமை / Kural 330	RESOLVED
244	ஒளியார்முன் ஒள்ளிய	520–521	537–538	1	Ch 72 அவை அறிதல் / Kural 714	RESOLVED
245	மிகுதியான் மிக்கவை	522–523	539–540	1	Ch 16 பொறையுடைமை / Kural 158	RESOLVED
246	பண்ணென்னாம் பாடற்கு	524–525	541–542	1	Ch 58 கண்ணோட்டம் / Kural 573	RESOLVED
247	உழந்துழந்து உள்நீர்	526–527	543–544	1	Ch 118 கண்விதுப்பழிதல் / Kural 1177	RESOLVED
248	குடிசெய்வார்க்கு இல்லை	528–529	545–546	1	Ch 103 குடி செயல் வகை / Kural 1028	RESOLVED
249	விருந்து புறத்ததா	530–531	547–548	1	Ch 9 விருந்தோம்பல் / Kural 82	RESOLVED
250	உள்ளுவ தெல்லாம்	532–534	549–551	1	Ch 60 ஊக்கம் உடைமை / Kural 596	RESOLVED
251	மலரன்ன கண்ணாள்	535–536	552–553	1	Ch 115 அலர் அறிவுறுத்தல் / Kural 1142	RESOLVED
252	நிழல்நீரும் இன்னாத	537–538	554–555	1	Ch 89 உட்பகை / Kural 881	RESOLVED
253	அ. இயற்றலும் ஈட்டலும் / ஆ. பகுத்துண்டு பல்லுயிர்	539–541	556–558	2	Ch 39 இறைமாட்சி / Kural 385 || Ch 33 கொல்லாமை / Kural 322	RESOLVED
254	காக்கை கரவா	542–543	559–560	1	Ch 53 சுற்றந்தழால் / Kural 527	RESOLVED
255	மணியில் திகழ்தரு	544–546	561–563	1	Ch 128 குறிப்பறிவுறுத்தல் / Kural 1273	RESOLVED
256	ஆகாறு அளவிட்டி	547–548	564–565	1	Ch 48 வலியறிதல் / Kural 478	RESOLVED
257	மக்கள்மெய் தீண்டல்	549–550	566–567	1	Ch 7 மக்கட்பேறு / Kural 65	RESOLVED
258	அ. உற்றவன் தீர்ப்பான் / ஆ. மருந்தென வேண்டாவாம் / இ. நோய்நாடி நோய்முதல்	551–552	568–569	3	Ch 95 மருந்து / Kurals 950, 942, 948	RESOLVED
259	மாலையோ அல்லை	553–554	570–571	1	Ch 123 பொழுதுகண்டு இரங்கல் / Kural 1221	RESOLVED
260	மருவுக மாசற்றார்	555–556	572–573	1	Ch 80 நட்பாராய்தல் / Kural 800	RESOLVED
261	கண்டொடு கண்ணிணை	557–559	574–576	1	Ch 110 குறிப்பறிதல் / Kural 1100	RESOLVED
262	ஏந்திய கொள்கையார்	560–561	577–578	1	Ch 90 பெரியாரைப் பிழையாமை / Kural 899	RESOLVED
263	தற்காத்துத் தற்கொண்டான்	562–563	579–580	1	Ch 6 வாழ்க்கைத் துணைநலம் / Kural 56	RESOLVED
264	பிறப்பொக்கும் எல்லா	564–565	581–582	1	Ch 98 பெருமை / Kural 972	RESOLVED
265	இம்மைப் பிறப்பில்	566–567	583–584	1	Ch 132 புலவி நுணுக்கம் / Kural 1315	RESOLVED
266	நிலத்தில் கிடந்தமை	568–569	585–586	1	Ch 96 குடிமை / Kural 959	RESOLVED
267	சொற்கோட்டம் இல்லது	570–571	587–588	1	Ch 12 நடுவு நிலைமை / Kural 119	RESOLVED
268	கல்லாத மேற்கொண்டு	572–573	589–590	1	Ch 85 புல்லறிவாண்மை / Kural 845	RESOLVED
269	உப்பாடு இலாதவர்	574–575	591–592	1	Ch 89 உட்பகை / Kural 890	RESOLVED
270	பழியஞ்சிப் பாத்தூண்	576–577	593–594	1	Ch 5 இல்வாழ்வியல் / Kural 44	RESOLVED
271	செய்யக்க அல்ல	578–579	595–596	1	Ch 47 தெரிந்து செயல்வகை / Kural 466	RESOLVED
272	இடுக்கட் படினும்	580–581	597–598	1	Ch 66 வினைத்தூய்மை / Kural 654	RESOLVED
273	எள்ளாமை வேண்டுவான்	582–583	599–600	1	Ch 29 கள்ளாமை / Kural 281	RESOLVED
274	செப்பின் புணர்ச்சி போல்	584–585	601–602	1	Ch 89 உட்பகை / Kural 887	RESOLVED
275	ஊரவர் கொளவை	586–587	603–604	1	Ch 115 அலர் அறிவுறுத்தல் / Kural 1147	RESOLVED
276	ஒட்டார்பின் சென்றொருவன்	588–590	605–607	1	Ch 97 மானம் / Kural 967	RESOLVED
277	நிலையில் திரியாது	591–592	608–609	1	Ch 13 அடக்கமுடைமை / Kural 124	RESOLVED
278	தாங்குக தாங்கி	593–595	610–612	1	Ch 68 வினைசெயல்வகை / Kural 672	RESOLVED
279	எனைத்தொன்று இனிதேகாண்	596–597	613–614	1	Ch 121 நினைந்தவர் புலம்பல் / Kural 1202	RESOLVED
280	முறைப்படச் சூழ்ந்தும்	598–599	615–616	1	Ch 64 அமைச்சு / Kural 640	RESOLVED
281	உலகத்தோடு ஒட்ட	600–601	617–618	1	Ch 14 ஒழுக்கமுடைமை / Kural 140	RESOLVED
282	அ. அடுத்தது காட்டும் / ஆ. நுண்ணியம் என்பார்	602–603	619–620	2	Ch 71 குறிப்பறிதல் / Kurals 706, 710	RESOLVED
283	முகைமொக்குள் உள்ளது	604–605	621–622	1	Ch 128 குறிப்பறிவுறுத்தல் / Kural 1274	RESOLVED
284	அமரகத்து வன் கண்ணர்	606–607	623–624	1	Ch 103 குடிசெயல்வகை / Kural 1027	RESOLVED
285	பெறுமவற்றுள் யாமறிவது	608–609	625–626	1	Ch 7 மக்கட்பேறு / Kural 61	RESOLVED
286	இகழ்ச்சியின் கெட்டாரை	610–611	627–628	1	Ch 54 பொச்சாவாமை / Kural 539	RESOLVED
287	நெஞ்சத்தார் காதல்	612–613	629–630	1	Ch 113 காதற் சிறப்புரைத்தல் / Kural 1128	RESOLVED
288	ஈர்ங்கை விதிரார்	614–615	631–632	1	Ch 108 கயமை / Kural 1077	RESOLVED
289	அஞ்சுவ தோரும்	616–617	633–634	1	Ch 37 அவா அறுத்தல் / Kural 366	RESOLVED
290	அறனிழுக்கா தல்லவை	618–619	635–636	1	Ch 39 இறைமாட்சி / Kural 384	RESOLVED
291	பரிந்தவர் நல்காரென்று	620–621	637–638	1	Ch 125 நெஞ்சொடு கிளத்தல் / Kural 1248	RESOLVED
292	எனைமாட்சித் தாகிய	622–623	639–640	1	Ch 75 அரண் / Kural 750	RESOLVED
293	அ. கொல்லான் புலாலை / ஆ. அவிசொரிந் தாயிரம்	624–625	641–642	2	Ch 26 புலால் மறுத்தல் / Kurals 260, 259	RESOLVED
294	சிற்றினம் அஞ்சும்	626–627	643–644	1	Ch 46 சிற்றினம் சேராமை / Kural 451	RESOLVED
295	வாழ்தல் உயிர்க்கன்னள்	628–630	645–647	1	Ch 113 காதற் சிறப்புரைத்தல் / Kural 1124	RESOLVED
296	குன்றின் அனையாரும்	631–632	648–649	1	Ch 97 மானம் / Kural 965	RESOLVED
297	காதலர் தூதொடு	633–634	650–651	1	Ch 122 கனவுநிலை உரைத்தல் / Kural 1211	RESOLVED
298	புகழ்புரிந்த இல்லிலோர்க்கு	635–636	652–653	1	Ch 6 வாழ்க்கைத் துணைநலம் / Kural 59	RESOLVED
299	பெரிதாற்றிப் பெட்ப	637–638	654–655	1	Ch 128 குறிப்பறிவுறுத்தல் / Kural 1276	RESOLVED
300	நெருநல் உளனொருவன்	639–640	656–657	1	Ch 34 நிலையாமை / Kural 336	RESOLVED
