entry	contents_key	printed_span	scan_span	expected_kural_count	chapter_assignments	status
27	இறந்தமைந்த சார்புடைய	70–71	87–88	1	Ch 90 பெரியாரைப் பிழையாமை / 900	RESOLVED
28	அ. காமமும் நாணும் / ஆ. கரத்தலும் ஆற்றேன் இந் / இ. புல்லிக் கிடந்தேன்	72–73	89–90	3	Ch 117 படர்மெலிந்திரங்கல் / 1163, 1162 || Ch 119 பசப்புறுபருவரல் / 1187	RESOLVED
29	கனை கொடிது யாழ்கோடு	74–75	91–92	1	Ch 28 கூடாவொழுக்கம் / 279	RESOLVED
30	அ. மறைப்பெறல் ஊரார்க்கு / ஆ. வாராக்கால் துஞ்சா	76–77	93–94	2	Ch 118 கண் விதுப்பழிதல் / 1180, 1179	RESOLVED
31	கண்ணுடையர் என்பவர்	78–79	95–96	1	Ch 40 கல்வி / 393	RESOLVED
32	அ. சிறுமை நமக்கொழிய / ஆ. முயக்கிடைத் தண்வளி	80–81	97–98	2	Ch 124 உறுப்புநலனழிதல் / 1231, 1239	RESOLVED
33	நெடுநீர் மறவி	82–84	99–101	1	Ch 61 மடி இன்மை / 605	RESOLVED
34	புலப்பல் எனச் சென்றேன்	85–86	102–103	1	Ch 126 நிறையழிதல் / 1259	RESOLVED
35	அமரகத்து ஆற்றறுக்கும்	87–88	104–105	1	Ch 82 தீ நட்பு / 814	RESOLVED
36	செல்விடத்துக் காப்பான்	89–90	106–107	1	Ch 31 வெகுளாமை / 301	RESOLVED
37	வாளாற்றுப் புற்கென்ற	91–91	108–108	1	Ch 127 அவர்வயின் விதும்பல் / 1261	RESOLVED
38	அ. விரைந்து தொழில்கேட்கும் / ஆ. இணரூழ்த்தும் நாறா	92–94	109–111	2	Ch 65 சொல்வன்மை / 648, 650	RESOLVED
39	ஊடுதல் காமத்திற்கு	95–96	112–113	1	Ch 133 ஊடலுவகை / 1330	RESOLVED
40	நுண்மாண் நுழைபுலம்	97–98	114–115	1	Ch 41 கல்லாமை / 407	RESOLVED
41	உள்ளக் களித்தலும்	99–99	116–116	1	Ch 129 புணர்ச்சி விதும்பல் / 1281	RESOLVED
42	அ. பொய்மையும் வாய்மை / ஆ. தன்னெஞ் சறிவது	100–101	117–118	2	Ch 30 வாய்மை / 292, 293	RESOLVED
43	எழுதுங்கால் கோல்காணா	102–103	119–120	1	Ch 129 புணர்ச்சி விதும்பல் / 1285	RESOLVED
44	தேரான் தெளிவும்	104–106	121–123	1	Ch 51 தெரிந்து தெளிதல் / 510	RESOLVED
45	அவர்நெஞ்சு அவர்க்காதல்	107–108	124–125	1	Ch 130 நெஞ்சொடு புலத்தல் / 1291	RESOLVED
46	அ. என்பி லதனை / ஆ. தொழுத கையுள்ளும்	109–110	126–127	2	Ch 83 கூடா நட்பு / 828	PARTIAL-SOURCE-METADATA
47	அ. வழுத்தினாள் தும்மினேன் / ஆ. ஊடி யிருந்தேமா	111–112	128–129	2	Ch 132 புலவி நுணுக்கம் / 1317, 1312	RESOLVED
48	இனிய உளவாக	113–114	130–131	1	Ch 10 இனியவை கூறல் / 100	RESOLVED
49	அ. கோட்டுப்பூச் சூடினும் / ஆ. நினைத்திருந்து நோக்கினும்	115–116	132–133	2	Ch 132 புலவி நுணுக்கம் / 1313, 1320	RESOLVED
50	செவியிற் சுவையுணரா	117–118	134–135	1	Ch 42 கேள்வி / 420	RESOLVED
51	காதலர் இல்வழி	119–120	136–137	1	Ch 123 பொழுதுகண்டு இரங்கல் / 1224	RESOLVED
52	பகல்வெல்லும் கூகையை	121–122	138–139	1	Ch 49 காலம் அறிதல் / 481	RESOLVED
53	கண்ணும் கொளச்சேறி	123–124	140–141	1	Ch 125 நெஞ்சொடு கிளத்தல் / 1244	RESOLVED
54	புறங்குன்றி கண்டனையார்	125–126	142–143	1	Ch 28 கூடா ஒழுக்கம் / 277	RESOLVED
55	கண்டு மன்னும்	127–128	144–145	1	Ch 115 அலர் அறிவுறுத்தல் / 1146	RESOLVED
56	நன்றாற்ற லுள்ளும்	129–130	146–147	1	Ch 47 தெரிந்து செயல்வகை / 469	RESOLVED
57	விடாஅது சென்றாரை	131–132	148–149	1	Ch 121 நினைந்தவர் புலம்பல் / 1210	RESOLVED
58	அ. அறன்கடை நின்றாருள் / ஆ. எளிதென இல்லிறப்பான்	133–135	150–152	2	Ch 15 பிறனில் விழையாமை / 142, 145	RESOLVED
59	கலந்துணர்த்தும் காதலர்	136–136	153–153	1	Ch 125 நெஞ்சொடு கிளத்தல் / 1246	RESOLVED
60	உணலினும் உண்டது	137–138	154–155	1	Ch 133 ஊடலுவகை / 1326	RESOLVED
61	எப்பொருள் யார்யார்வாய்	139–140	156–157	1	Ch 43 அறிவுடைமை / 423	RESOLVED
62	செல்லாமை உண்டேல்	141–142	158–159	1	Ch 116 பிரிவாற்றாமை / 1151	RESOLVED
63	காலாழ் களரின்	143–144	160–161	1	Ch 50 இடனறிதல் / 500	RESOLVED
64	துன்னியார் குற்றமும்	145–146	162–163	1	Ch 19 புறங்கூறாமை / 188	RESOLVED
65	ஒருதலையான் இன்னாது	147–148	164–165	1	Ch 120 தனிப்படர்மிகுதி / 1196	RESOLVED
66	தாளாண்மை இல்லாதான்	149–150	166–167	1	Ch 62 ஆள்வினையுடைமை / 614	RESOLVED
67	கெட்டார்க்கு நட்டாரில்	151–152	168–169	1	Ch 130 நெஞ்சொடு புலத்தல் / 1293	RESOLVED
68	பெயக்கண்டும் நஞ்சுண்டு	153–154	170–171	1	Ch 58 கண்ணோட்டம் / 580	RESOLVED
69	பெண்ணினால் பெண்மை	155–156	172–173	1	Ch 128 குறிப்பறிவுறுத்தல் / 1280	RESOLVED
70	சிதைவிடத்து ஒல்கார்	157–158	174–175	1	Ch 60 ஊக்கம் உடைமை / 597	RESOLVED
71	அ. கொடியார் கொடுமையின் / ஆ. மன்னுயிர் எல்லாம்	159–161	176–178	2	Ch 117 படர்மெலிந்திரங்கல் / 1168, 1169	RESOLVED
72	அ. இடுக்கண் வருங்கால் / ஆ. ஒன்றொன்றித் தந்த	162–163	179–180	2	Ch 63 இடுக்கண் அழியாமை / 621 || Ch 59 ஒற்றாடல் / 588	RESOLVED
73	உள்ளினேன் என்றேன்	164–166	181–183	1	Ch 132 புலவி நுணுக்கம் / 1316	RESOLVED
74	அ. ஊழிற் பெருவலி / ஆ. ஊழையும் உப்பக்கம்	167–169	184–186	2	Ch 38 ஊழ் / 380 || Ch 62 ஆள்வினையுடைமை / 620	RESOLVED
75	புன்கண்ணை வாழி	170–171	187–188	1	Ch 123 பொழுதுகண்டிரங்கல் / 1222	RESOLVED
76	வெள்ளத் தனைய	172–173	189–190	1	Ch 63 இடுக்கண் அழியாமை / 622	RESOLVED
77	அ. இல்லை தவறவர்க்கு / ஆ. புலத்தலின் புத்தேள்நாடு	174–175	191–192	2	Ch 133 ஊடலுவகை / 1321, 1323	RESOLVED
78	சாதலின் இன்னாது	176–177	193–194	1	Ch 23 ஈகை / 230	RESOLVED
79	அ. ஒண்ணுதற் கோழ / ஆ. கடாஅக் களிற்றின்மேல் / இ. நோக்கினாள் நோக்கெதிர்	178–179	195–196	3	Ch 109 தகையணங்குறுத்தல் / 1088, 1087, 1082	RESOLVED
80	இன்பத்துள் இன்பம்	180–182	197–199	1	Ch 63 இடுக்கண் அழியாமை / 629	RESOLVED
81	வீழும் இருவர்க்கு	183–184	200–201	1	Ch 111 புணர்ச்சி மகிழ்தல் / 1108	RESOLVED
82	கைவேல் களிற்றொடு	185–187	202–204	1	Ch 78 படைச்செருக்கு / 774	RESOLVED
83	நெய்யால் எரிநுதுப்போம்	188–189	205–206	1	Ch 115 அலர் அறிவுறுத்தல் / 1148	RESOLVED
84	அ. விழுப்புண் படாத / ஆ. விழித்தகண் வேல்கொண்டு	190–191	207–208	2	Ch 78 படைச்செருக்கு / 776, 775	RESOLVED
85	உளம்போன்று உள்வழி	192–193	209–210	1	Ch 117 படர்மெலிந்திரங்கல் / 1170	RESOLVED
86	அறிவினுள் எல்லாம்	194–195	211–212	1	Ch 21 தீவினையச்சம் / 203	RESOLVED
87	நாணும் மறந்தேன்	196–197	213–214	1	Ch 130 நெஞ்சொடு புலத்தல் / 1297	RESOLVED
88	புறந்தார்கண் நீர்மல்க	198–199	215–216	1	Ch 78 படைச் செருக்கு / 780	RESOLVED
89	உப்பமைந்தற்றால்	200–201	217–218	1	Ch 131 புலவி / 1302	RESOLVED
90	கெடுங்காலைக் கைவிடுவார்	202–203	219–220	1	Ch 80 நட்பாராய்தல் / 799	RESOLVED
91	செறிதொடி செய்திறந்த	204–205	221–222	1	Ch 128 குறிப்பறிவுறுத்தல் / 1275	RESOLVED
92	அ. மையல் ஒருவன் / ஆ. பெரிதினிது பேதையார்	206–207	223–224	2	Ch 84 பேதைமை / 838, 839	RESOLVED
93	அ. நினைப்பவர் போன்று / ஆ. தும்முச் செறுப்ப / இ. மறைப்பேன்மன் யான்	208–209	225–226	3	Ch 121 நினைந்தவர் புலம்பல் / 1203 || Ch 132 புலவி நுணுக்கம் / 1318 || Ch 126 நிறையழிதல் / 1253	RESOLVED
94	அ. அகழ்வாரைத் தாங்கும் / ஆ. அறன்நோக்கி ஆற்றும்கொல்	210–211	227–228	2	Ch 16 பொறையுடைமை / 151 || Ch 19 புறங்கூறாமை / 189	RESOLVED
95	நினைத்தொன்று சொல்லாயோ	212–213	229–230	1	Ch 125 நெஞ்சொடு கிளத்தல் / 1241	RESOLVED
96	பொருட்பெண்டிர் பொய்ம்மை	214–215	231–232	1	Ch 92 வரைவின் மகளிர் / 913	RESOLVED
97	கண்ணாம் கழும்வது	216–217	233–234	1	Ch 118 கண்விதுப்பழிதல் / 1171	RESOLVED
98	மோப்பக் குழையும்	218–219	235–236	1	Ch 9 விருந்தோம்பல் / 90	RESOLVED
99	அ. அறுவாய் நிறைந்த / ஆ. மாதர் முகம்போல்	220–221	237–238	2	Ch 112 நலம்புனைந்துரைத்தல் / 1117, 1118	RESOLVED
100	களித்தானைக் காரணம்	222–223	239–240	1	Ch 93 கள்ளுண்ணாமை / 929	RESOLVED
101	விளக்கற்றம் பார்க்கும்	224–225	241–242	1	Ch 119 பசப்புறுபருவரல் / 1186	RESOLVED
102	அ. சுழன்றும் ஏர்ப்பின்னது / ஆ. அமிழ்தினும் ஆற்ற	226–227	243–244	2	Ch 104 உழவு / 1031 || Ch 7 மக்கட்பேறு / 64	RESOLVED
103	அ. துனியும் புலவியும் / ஆ. நீரும் நிழலது	228–230	245–247	2	Ch 131 புலவி / 1306, 1309	RESOLVED
104	அ. உழுதுண்டு வாழ்வாரே / ஆ. வலியில் நிலைமையான்	231–232	248–249	2	Ch 28 கூடாவொழுக்கம் / 273	PARTIAL-SOURCE-METADATA
105	அ. தினைத்துணையும் ஊடாமை / ஆ. ஊடற்கண் சென்றேன்மன் / இ. கண்ணின் துனித்தே	233–234	250–251	3	Ch 129 புணர்ச்சி விதும்பல் / 1282, 1284, 1290	RESOLVED
106	செல்லான் கிழவன்	235–236	252–253	1	Ch 104 உழவு / 1039	RESOLVED
107	காமக் கணிச்சி	237–238	254–255	1	Ch 126 நிறையழிதல் / 1251	RESOLVED
108	நெருப்பினுள் துஞ்சலும்	239–240	256–257	1	Ch 105 நல்குரவு / 1049	RESOLVED
109	அ. கண்ணுள்ளின் போகார் / ஆ. உள்ளுவன் மன்னான்	241–242	258–259	2	Ch 113 காதற்சிறப்புரைத்தல் / 1126, 1125	RESOLVED
110	தீயினாற் சுட்டபுண்	243–244	260–261	1	Ch 13 அடக்கமுடைமை / 129	RESOLVED
111	யாங்கண்ணின் காண	245–246	262–263	1	Ch 114 நாணுத் துறவுரைத்தல் / 1140	RESOLVED
112	கேட்டினும் உண்டோர்	247–248	264–265	1	Ch 80 நட்பாராய்தல் / 796	RESOLVED
113	நனவினால் நம்நீத்தார்	249–250	266–267	1	Ch 122 கனவுநிலை உரைத்தல் / 1220	RESOLVED
114	ஒருத்தாரை ஒன்றாக	251–252	268–269	1	Ch 16 பொறையுடைமை / 155	RESOLVED
115	ஊடலில் தோற்றவர்	253–254	270–271	1	Ch 133 ஊடலுவகை / 1327	RESOLVED
116	ஒழுக்கம் உடைமை	255–256	272–273	1	Ch 14 ஒழுக்கமுடைமை / 133	RESOLVED
117	புலப்பேன்கொல் புல்லுவேன்	257–258	274–275	1	Ch 127 அவர்வயின்விதும்பல் / 1267	RESOLVED
118	நுனிக்கொம்பர் ஏறினார்	259–260	276–277	1	Ch 48 வலியறிதல் / 476	RESOLVED
119	உய்த்தல் அறிந்து	261–262	278–279	1	Ch 129 புணர்ச்சி விதும்பல் / 1287	RESOLVED
120	கழாஅக்கால் பள்ளியுள்	263–264	280–281	1	Ch 84 பேதைமை / 840	RESOLVED
121	தம்மில் இருந்து	265–266	282–283	1	Ch 111 புணர்ச்சி மகிழ்தல் / 1107	RESOLVED
122	இடிப்பாரை இல்லாத	267–268	284–285	1	Ch 45 பெரியாரைத் துணைக்கோடல் / 448	RESOLVED
123	நகையுடையார் நல்கார்	269–270	286–287	1	Ch 120 தனிப்படர் மிகுதி / 1199	RESOLVED
124	அ. பற்றி விடாஅது / ஆ. பற்றுக பற்றற்றான்	271–272	288–289	2	Ch 35 துறவு / 347, 350	RESOLVED
125	ஒருநாள் எழுநாள்போல்	273–274	290–291	1	Ch 127 அவர் வயின் விதும்பல் / 1269	RESOLVED
126	பற்றற்ற கண்ணும்	275–276	292–293	1	Ch 53 சுற்றந் தழால் / 521	RESOLVED
127	கூடிய காமம்	277–278	294–295	1	Ch 127 அவர் வயின் விதும்பல் / 1264	RESOLVED
128	உலைவிடத்து ஊறஞ்சா	279–280	296–297	1	Ch 77 படைமாட்சி / 762	RESOLVED
129	துஞ்சுங்கால் தோள்மேலர்	281–282	298–299	1	Ch 122 கனவு நிலை உரைத்தல் / 1218	RESOLVED
130	மடியுளாள் மாமுகடி	283–285	300–302	1	Ch 62 ஆள்வினை உடைமை / 617	RESOLVED
131	அ. செற்றவர் பின்சேறல் / ஆ. நினைந்தயில் இட்டன்ன / இ. நாணென ஒன்றோ	286–287	303–304	3	Ch 126 நிறையழிதல் / 1256, 1260, 1257	RESOLVED
132	பல்லார் முனிய	288–289	305–306	1	Ch 20 பயனில சொல்லாமை / 191	RESOLVED
133	தஞ்சம் தமரல்லர்	290–291	307–308	1	Ch 130 நெஞ்சொடு புலத்தல் / 1300	RESOLVED
134	அ. ஆக்கம் அதர்வினாய் / ஆ. மடுத்தவா யெல்லாம்	292–293	309–310	2	Ch 60 ஊக்கம் உடைமை / 594 || Ch 63 இடுக்கண் அழியாமை / 624	RESOLVED
135	காமம் விடு ஒன்றோ	294–295	311–312	1	Ch 125 நெஞ்சொடு கிளத்தல் / 1247	RESOLVED
136	இலமென்று அசைஇ	296–297	313–314	1	Ch 104 உழவு / 1040	RESOLVED
137	பசந்தாள் இவள்	298–299	315–316	1	Ch 119 பசப்புறு பருவரல் / 1188	RESOLVED
138	அமைந்தாங் கொழுகான்	300–301	317–318	1	Ch 48 வலியறிதல் / 474	RESOLVED
139	செறாஅச் சிறுசொல்லும்	302–304	319–321	1	Ch 110 குறிப்பறிதல் / 1097	RESOLVED
140	அ. அளவறிந்து வாழாதான் / ஆ. உடைத்தம் வலியறியார்	305–306	322–323	2	Ch 48 வலியறிதல் / 479, 473	RESOLVED
141	சிறைகாக்குங் காப்புவன்	307–308	324–325	1	Ch 6 வாழ்க்கைத்துணைநலம் / 57	RESOLVED
142	பண்டறியேன் கூற்றென்	309–310	326–327	1	Ch 109 தகையணங்குறுத்தல் / 1083	RESOLVED
143	அற்றார்க்கொன்று ஆற்றாதான்	311–312	328–329	1	Ch 101 நன்றியில் செல்வம் / 1007	RESOLVED
144	அழுக்காறு அவா வெகுளி	313–314	330–331	1	Ch 4 அறன் வலியுறுத்தல் / 35	RESOLVED
145	கடுமொழியும் கையிகந்த	315–316	332–333	1	Ch 57 வெருவந்த செய்யாமை / 567	RESOLVED
146	பெயலாற்றா நீருலந்த	317–318	334–335	1	Ch 118 கண்விதுப்பழிதல் / 1174	RESOLVED
147	கொடுத்துங் கொள்ளவேண்டும்	319–320	336–337	1	Ch 87 பகைமாட்சி / 867	RESOLVED
148	இன்னா செய்தாரை	321–322	338–339	1	Ch 32 இன்னா செய்யாமை / 314	RESOLVED
149	தந்நெஞ்சத்து எம்மை	323–324	340–341	1	Ch 121 நினைந்தவர் புலம்பல் / 1205	RESOLVED
150	ஆய்ந்தாய்ந்து கொள்ளாதான்	325–326	342–343	1	Ch 80 நட்பாராய்தல் / 792	RESOLVED
151	கூத்தாட்டு அவைக் குழாத்து	327–328	344–345	1	Ch 34 நிலையாமை / 332	RESOLVED
152	பிரிவுரைக்கும் வன் கண்ணர்	329–330	346–347	1	Ch 116 பிரிவாற்றாமை / 1156	RESOLVED
153	நாளென ஒன்று போல்	331–332	348–349	1	Ch 34 நிலையாமை / 334	RESOLVED
154	பிணிக்கு மருந்து	333–334	350–351	1	Ch 111 புணர்ச்சி மகிழ்தல் / 1102	RESOLVED
155	உள்ளற்க உள்ளம்	335–336	352–353	1	Ch 80 நட்பாராய்தல் / 798	RESOLVED
156	அழுக்காறு உடையார்க்கு	337–338	354–355	1	Ch 17 அழுக்காறாமை / 165	RESOLVED
157	பாலொடு தேன்கலந்து	339–340	356–357	1	Ch 113 காதற் சிறப்புரைத்தல் / 1121	RESOLVED
158	அ. கொலையிற் கொடியாரை / ஆ. கொலைமேற் கொண்டாரின்	341–342	358–359	2	Ch 55 செங்கோன்மை / 550 || Ch 56 கொடுங்கோன்மை / 551	RESOLVED
159	நெஞ்சில் துறவார்	343–344	360–361	1	Ch 28 கூடா ஒழுக்கம் / 276	RESOLVED
160	நிறைநெஞ்சம் இல்லவர்	345–346	362–363	1	Ch 92 வரைவின் மகளிர் / 917	RESOLVED
161	வலியார்முன் தன்னை	347–348	364–365	1	Ch 26 அருளுடைமை / 250	RESOLVED
162	எல்லைக்கண் நின்றார்	349–350	366–367	1	Ch 81 பழைமை / 806	RESOLVED
163	உவந்துறைவர் உள்ளத்துள்	351–352	368–369	1	Ch 113 காதற் சிறப்புரைத்தல் / 1130	RESOLVED
164	அ. தொகச்சொல்லித் தூவாத / ஆ. இறுதி பயப்பினும்	353–354	370–371	2	Ch 69 தூது / 685, 690	RESOLVED
165	பொறாமை அஞ்சும்	355–356	372–373	1	Ch 130 நெஞ்சொடு புலத்தல் / 1295	RESOLVED
166	நிறைமொழி மாந்தர்	357–358	374–375	1	Ch 3 நீத்தார் பெருமை / 28	RESOLVED
167	மேவிருந்தும் மேலல்லார்	359–360	376–377	1	Ch 98 பெருமை / 973	RESOLVED
168	காலைக்குச் செய்த நன்று	361–362	378–379	1	Ch 123 பொழுதுகண்டு இரங்கல் / 1225	RESOLVED
169	வசையெனப வையத்தார்க்கு	363–364	380–381	1	Ch 24 புகழ் / 238	RESOLVED
170	பணியுமாம் என்றும்	365–366	382–383	1	Ch 98 பெருமை / 978	RESOLVED
171	ஊடி யவரை	367–368	384–385	1	Ch 131 புலவி / 1304	RESOLVED
172	நிறைநீர் நீரவர்	369–370	386–387	1	Ch 79 நட்பு / 782	RESOLVED
173	துறந்தார் பெருமை	371–372	388–389	1	Ch 3 நீத்தார் பெருமை / 22	RESOLVED
174	அ. இருபுனலும் வாய்ந்த / ஆ. உறுபசியும் ஓவா / இ. ஆங்கமை வெய்திய	373–374	390–391	3	Ch 74 அரணியல் / 737, 734, 740	RESOLVED
175	வினைகலந்து வென்றீக	375–376	392–393	1	Ch 127 அவர்வயின் விதும்பல் / 1268	RESOLVED
176	மனைத்தக்க மாண்புடையள்	377–378	394–395	1	Ch 6 வாழ்க்கைத் துணை நலம் / 51	RESOLVED
177	சாயலும் நாணும்	379–380	396–397	1	Ch 119 பசப்புறு பருவரல் / 1183	RESOLVED
178	கல்லார்ப் பிணிக்கும்	381–382	398–399	1	Ch 57 வெருவந்த செய்யாமை / 570	RESOLVED
179	துப்பார்க்குத் துப்பாய	383–384	400–401	1	Ch 2 வான் சிறப்பு / 12	RESOLVED
180	காமக் கடும்புனல்	385–387	402–404	1	Ch 114 நாணுத் துறவுரைத்தல் / 1134	RESOLVED
181	உறுவது சீர் தூக்கும்	388–390	405–407	1	Ch 82 தீ நட்பு / 813	RESOLVED
182	தன்னுயிர்க்கு இன்னாமை	391–392	408–409	1	Ch 32 இன்னா செய்யாமை / 318	RESOLVED
183	பன்மாயக் கள்வன்	393–394	410–411	1	Ch 126 நிறையழிதல் / 1258	RESOLVED
184	நெடும்புனலுள் வெல்லும்	395–396	412–413	1	Ch 50 இடம் அறிதல் / 495	RESOLVED
185	கெடுவல்யான் என்பது	397–398	414–415	1	Ch 12 நடுவுநிலைமை / 116	RESOLVED
186	இன்கண் உடைத்தவர்	399–400	416–417	1	Ch 116 பிரிவாற்றாமை / 1152	RESOLVED
187	அ. ஏற்றிற் குரியர் / ஆ. மக்களே போல்வர்	401–403	418–420	2	Ch 108 கயமை / 1080, 1071	RESOLVED
188	அ. நன்னீரை வாழி / ஆ. முறிமேனி முத்தம்	404–405	421–422	2	Ch 112 நலம்புனைந்துரைத்தல் / 1111, 1113	RESOLVED
189	வினைவலியும் தன்வலியும்	406–407	423–424	1	Ch 48 வலியறிதல் / 471	RESOLVED
190	குணமென்னுங் குன்றேறி	408–409	425–426	1	Ch 3 நீத்தார் பெருமை / 29	RESOLVED
191	அ. புல்லி விடாஅப் / ஆ. ஊடுக மன்னோ	410–411	427–428	2	Ch 133 ஊடலுவகை / 1324, 1329	RESOLVED
192	ஊக்கம் உடையான்	412–413	429–430	1	Ch 49 காலம் அறிதல் / 486	RESOLVED
193	புறத்துறுப் பெல்லாம்	414–415	431–432	1	Ch 8 அன்புடைமை / 79	RESOLVED
194	அ. நகையுள்ளும் இன்னாது / ஆ. பண்பிலான் பெற்ற	416–418	433–435	2	Ch 100 பண்புடைமை / 995, 1000	RESOLVED
195	வருகமன் கொண்கன்	419–420	436–437	1	Ch 127 அவர்வயின் விதும்பல் / 1266	RESOLVED
196	கொக்கொக்கக் கூம்பும்	421–422	438–439	1	Ch 49 காலம் அறிதல் / 490	RESOLVED
197	அரிதாற்றி அல்லல்நோய்	423–424	440–441	1	Ch 116 பிரிவாற்றாமை / 1160	RESOLVED
198	உறின்நட்டு அறின் ஒரூஉம்	425–426	442–443	1	Ch 82 தீ நட்பு / 812	RESOLVED
199	மனத்துக்கண் மாசிலன்	427–428	444–445	1	Ch 4 அறன்வலியுறுத்தல் / 34	RESOLVED
200	கதுமெனத் தாம்நோக்கி	429–430	446–447	1	Ch 118 கண்விதுப்பழிதல் / 1173	RESOLVED
201	இன்மையின் இன்னாது	431–432	448–449	1	Ch 56 கொடுங்கோன்மை / 558	RESOLVED
202	ஈன்ற பொழுதின்	433–435	450–452	1	Ch 7 மக்கட்பேறு / 69	RESOLVED
203	அ. கண்ணுள்ளார் காத / ஆ. இமைப்பின் கரப்பாக்கு	435–437	452–454	2	Ch 113 காதற் சிறப்புரைத்தல் / 1127, 1129	RESOLVED
204	மயிர்நீப்பின் வாழா	438–439	455–456	1	Ch 97 மானம் / 969	RESOLVED
205	பயன்தூக்கார் செய்த	440–441	457–458	1	Ch 11 செய்ந்நன்றி யறிதல் / 103	RESOLVED
206	ஏமுற்றவரினும்	442–444	459–461	1	Ch 88 பகைத்திறம் தெரிதல் / 873	RESOLVED
207	முயங்கிய கைகளை	445–446	462–463	1	Ch 124 உறுப்புநலன் அழிதல் / 1238	RESOLVED
208	செயற்கை அறிந்த	447–448	464–465	1	Ch 64 அமைச்சு / 637	RESOLVED
209	கண்ணிறைந்த காரிகை	449–450	466–467	1	Ch 128 குறிப்பறிவுறுத்தல் / 1272	RESOLVED
210	புறங்கூறிப் பொய்த்துயிர்	451–452	468–469	1	Ch 19 புறங்கூறாமை / 183	RESOLVED
211	அணங்குகொல் ஆய்மயில்	453–454	470–471	1	Ch 109 தகையணங்குறுத்தல் / 1081	RESOLVED
