entry	contents_key	printed_start	printed_end	scan_start	scan_end	expected_kural_count	status	chapter_numbers	kural_numbers	leaf_path
57	விடாஅது சென்றாரை	131	132	148	149	1	RESOLVED	121	1210	entry-057.md
58	அ. அறன்கடை நின்றாருள் / ஆ. எளிதென இல்லிறப்பான்	133	135	150	152	2	RESOLVED	15	142,145	entry-058.md
59	கலந்துணர்த்தும் காதலர்	136	136	153	153	1	RESOLVED	125	1246	entry-059.md
60	உணலினும் உண்டது	137	138	154	155	1	RESOLVED	133	1326	entry-060.md
61	எப்பொருள் யார்யார்வாய்	139	140	156	157	1	RESOLVED	43	423	entry-061.md
62	செல்லாமை உண்டேல்	141	142	158	159	1	RESOLVED	116	1151	entry-062.md
63	காலாழ் களரின்	143	144	160	161	1	RESOLVED	50	500	entry-063.md
64	துன்னியார் குற்றமும்	145	146	162	163	1	RESOLVED	19	188	entry-064.md
65	ஒருதலையான் இன்னாது	147	148	164	165	1	RESOLVED	120	1196	entry-065.md
66	தாளாண்மை இல்லாதான்	149	150	166	167	1	RESOLVED	62	614	entry-066.md
67	கெட்டார்க்கு நட்டாரில்	151	152	168	169	1	RESOLVED	130	1293	entry-067.md
68	பெயக்கண்டும் நஞ்சுண்டு	153	154	170	171	1	RESOLVED	58	580	entry-068.md
69	பெண்ணினால் பெண்மை	155	156	172	173	1	RESOLVED	128	1280	entry-069.md
70	சிதைவிடத்து ஒல்கார்	157	158	174	175	1	RESOLVED	60	597	entry-070.md
71	அ. கொடியார் கொடுமையின் / ஆ. மன்னுயிர் எல்லாம்	159	161	176	178	2	RESOLVED	117	1168,1169	entry-071.md
72	அ. இடுக்கண் வருங்கால் / ஆ. ஒன்றொன்றித் தந்த	162	163	179	180	2	RESOLVED	63,59	621,588	entry-072.md
73	உள்ளினேன் என்றேன்	164	166	181	183	1	RESOLVED	132	1316	entry-073.md
74	அ. ஊழிற் பெருவலி / ஆ. ஊழையும் உப்பக்கம்	167	169	184	186	2	RESOLVED	38,62	380,620	entry-074.md
75	புன்கண்ணை வாழி	170	171	187	188	1	RESOLVED	123	1222	entry-075.md
76	வெள்ளத் தனைய	172	173	189	190	1	RESOLVED	63	622	entry-076.md
77	அ. இல்லை தவறவர்க்கு / ஆ. புலத்தலின் புத்தேள்நாடு	174	175	191	192	2	RESOLVED	133	1321,1323	entry-077.md
78	சாதலின் இன்னாது	176	177	193	194	1	RESOLVED	23	230	entry-078.md
79	அ. ஒண்ணுதற் கோழ / ஆ. கடாஅக் களிற்றின்மேல் / இ. நோக்கினாள் நோக்கெதிர்	178	179	195	196	3	RESOLVED	109	1088,1087,1082	entry-079.md
80	இன்பத்துள் இன்பம்	180	182	197	199	1	RESOLVED	63	629	entry-080.md
81	வீழும் இருவர்க்கு	183	184	200	201	1	RESOLVED	111	1108	entry-081.md
82	கைவேல் களிற்றொடு	185	187	202	204	1	RESOLVED	78	774	entry-082.md
83	நெய்யால் எரிநுதுப்போம்	188	189	205	206	1	RESOLVED	115	1148	entry-083.md
84	அ. விழுப்புண் படாத / ஆ. விழித்தகண் வேல்கொண்டு	190	191	207	208	2	RESOLVED	78	776,775	entry-084.md
85	உளம்போன்று உள்வழி	192	193	209	210	1	RESOLVED	117	1170	entry-085.md
86	அறிவினுள் எல்லாம்	194	195	211	212	1	RESOLVED	21	203	entry-086.md
87	நாணும் மறந்தேன்	196	197	213	214	1	RESOLVED	130	1297	entry-087.md
88	புறந்தார்கண் நீர்மல்க	198	199	215	216	1	RESOLVED	78	780	entry-088.md
89	உப்பமைந்தற்றால்	200	201	217	218	1	RESOLVED	131	1302	entry-089.md
90	கெடுங்காலைக் கைவிடுவார்	202	203	219	220	1	RESOLVED	80	799	entry-090.md
91	செறிதொடி செய்திறந்த	204	205	221	222	1	RESOLVED	128	1275	entry-091.md
92	அ. மையல் ஒருவன் / ஆ. பெரிதினிது பேதையார்	206	207	223	224	2	RESOLVED	84	838,839	entry-092.md
93	அ. நினைப்பவர் போன்று / ஆ. தும்முச் செறுப்ப / இ. மறைப்பேன்மன் யான்	208	209	225	226	3	RESOLVED	121,132,126	1203,1318,1253	entry-093.md
94	அ. அகழ்வாரைத் தாங்கும் / ஆ. அறன்நோக்கி ஆற்றும்கொல்	210	211	227	228	2	RESOLVED	16,19	151,189	entry-094.md
95	நினைத்தொன்று சொல்லாயோ	212	213	229	230	1	RESOLVED	125	1241	entry-095.md
96	பொருட்பெண்டிர் பொய்ம்மை	214	215	231	232	1	RESOLVED	92	913	entry-096.md
97	கண்ணாம் கழும்வது	216	217	233	234	1	RESOLVED	118	1171	entry-097.md
98	மோப்பக் குழையும்	218	219	235	236	1	RESOLVED	9	90	entry-098.md
99	அ. அறுவாய் நிறைந்த / ஆ. மாதர் முகம்போல்	220	221	237	238	2	RESOLVED	112	1117,1118	entry-099.md
100	களித்தானைக் காரணம்	222	223	239	240	1	RESOLVED	93	929	entry-100.md
101	விளக்கற்றம் பார்க்கும்	224	225	241	242	1	RESOLVED	119	1186	entry-101.md
102	அ. சுழன்றும் ஏர்ப்பின்னது / ஆ. அமிழ்தினும் ஆற்ற	226	227	243	244	2	RESOLVED	104,7	1031,64	entry-102.md
103	அ. துனியும் புலவியும் / ஆ. நீரும் நிழலது	228	230	245	247	2	RESOLVED	131	1306,1309	entry-103.md
104	அ. உழுதுண்டு வாழ்வாரே / ஆ. வலியில் நிலைமையான்	231	232	248	249	2	PARTIAL-SOURCE-METADATA	28	273	entry-104.md
105	அ. தினைத்துணையும் ஊடாமை / ஆ. ஊடற்கண் சென்றேன்மன் / இ. கண்ணின் துனித்தே	233	234	250	251	3	RESOLVED	129	1282,1284,1290	entry-105.md
106	செல்லான் கிழவன்	235	236	252	253	1	RESOLVED	104	1039	entry-106.md
107	காமக் கணிச்சி	237	238	254	255	1	RESOLVED	126	1251	entry-107.md
108	நெருப்பினுள் துஞ்சலும்	239	240	256	257	1	RESOLVED	105	1049	entry-108.md
109	அ. கண்ணுள்ளின் போகார் / ஆ. உள்ளுவன் மன்னான்	241	242	258	259	2	RESOLVED	113	1126,1125	entry-109.md
110	தீயினாற் சுட்டபுண்	243	244	260	261	1	RESOLVED	13	129	entry-110.md
111	யாங்கண்ணின் காண	245	246	262	263	1	RESOLVED	114	1140	entry-111.md
112	கேட்டினும் உண்டோர்	247	248	264	265	1	RESOLVED	80	796	entry-112.md
113	நனவினால் நம்நீத்தார்	249	250	266	267	1	RESOLVED	122	1220	entry-113.md
114	ஒருத்தாரை ஒன்றாக	251	252	268	269	1	RESOLVED	16	155	entry-114.md
115	ஊடலில் தோற்றவர்	253	254	270	271	1	RESOLVED	133	1327	entry-115.md
116	ஒழுக்கம் உடைமை	255	256	272	273	1	RESOLVED	14	133	entry-116.md
117	புலப்பேன்கொல் புல்லுவேன்	257	258	274	275	1	RESOLVED	127	1267	entry-117.md
118	நுனிக்கொம்பர் ஏறினார்	259	260	276	277	1	RESOLVED	48	476	entry-118.md
119	உய்த்தல் அறிந்து	261	262	278	279	1	RESOLVED	129	1287	entry-119.md
120	கழாஅக்கால் பள்ளியுள்	263	264	280	281	1	RESOLVED	84	840	entry-120.md
121	தம்மில் இருந்து	265	266	282	283	1	RESOLVED	111	1107	entry-121.md
122	இடிப்பாரை இல்லாத	267	268	284	285	1	RESOLVED	45	448	entry-122.md
123	நகையுடையார் நல்கார்	269	270	286	287	1	RESOLVED	120	1199	entry-123.md
124	அ. பற்றி விடாஅது / ஆ. பற்றுக பற்றற்றான்	271	272	288	289	2	RESOLVED	35	347,350	entry-124.md
125	ஒருநாள் எழுநாள்போல்	273	274	290	291	1	RESOLVED	127	1269	entry-125.md
126	பற்றற்ற கண்ணும்	275	276	292	293	1	RESOLVED	53	521	entry-126.md
127	கூடிய காமம்	277	278	294	295	1	RESOLVED	127	1264	entry-127.md
128	உலைவிடத்து ஊறஞ்சா	279	280	296	297	1	RESOLVED	77	762	entry-128.md
129	துஞ்சுங்கால் தோள்மேலர்	281	282	298	299	1	RESOLVED	122	1218	entry-129.md
130	மடியுளாள் மாமுகடி	283	285	300	302	1	RESOLVED	62	617	entry-130.md
131	அ. செற்றவர் பின்சேறல் / ஆ. நினைந்தயில் இட்டன்ன / இ. நாணென ஒன்றோ	286	287	303	304	3	RESOLVED	126	1256,1260,1257	entry-131.md
132	பல்லார் முனிய	288	289	305	306	1	RESOLVED	20	191	entry-132.md
133	தஞ்சம் தமரல்லர்	290	291	307	308	1	RESOLVED	130	1300	entry-133.md
134	அ. ஆக்கம் அதர்வினாய் / ஆ. மடுத்தவா யெல்லாம்	292	293	309	310	2	RESOLVED	60,63	594,624	entry-134.md
135	காமம் விடு ஒன்றோ	294	295	311	312	1	RESOLVED	125	1247	entry-135.md
136	இலமென்று அசைஇ	296	297	313	314	1	RESOLVED	104	1040	entry-136.md
137	பசந்தாள் இவள்	298	299	315	316	1	RESOLVED	119	1188	entry-137.md
138	அமைந்தாங் கொழுகான்	300	301	317	318	1	RESOLVED	48	474	entry-138.md
139	செறாஅச் சிறுசொல்லும்	302	304	319	321	1	RESOLVED	110	1097	entry-139.md
140	அ. அளவறிந்து வாழாதான் / ஆ. உடைத்தம் வலியறியார்	305	306	322	323	2	RESOLVED	48	479,473	entry-140.md
141	சிறைகாக்குங் காப்புவன்	307	308	324	325	1	RESOLVED	6	57	entry-141.md
142	பண்டறியேன் கூற்றென்	309	310	326	327	1	RESOLVED	109	1083	entry-142.md
143	அற்றார்க்கொன்று ஆற்றாதான்	311	312	328	329	1	RESOLVED	101	1007	entry-143.md
144	அழுக்காறு அவா வெகுளி	313	314	330	331	1	RESOLVED	4	35	entry-144.md
145	கடுமொழியும் கையிகந்த	315	316	332	333	1	RESOLVED	57	567	entry-145.md
146	பெயலாற்றா நீருலந்த	317	318	334	335	1	RESOLVED	118	1174	entry-146.md
147	கொடுத்துங் கொள்ளவேண்டும்	319	320	336	337	1	RESOLVED	87	867	entry-147.md
148	இன்னா செய்தாரை	321	322	338	339	1	RESOLVED	32	314	entry-148.md
149	தந்நெஞ்சத்து எம்மை	323	324	340	341	1	RESOLVED	121	1205	entry-149.md
150	ஆய்ந்தாய்ந்து கொள்ளாதான்	325	326	342	343	1	RESOLVED	80	792	entry-150.md
151	கூத்தாட்டு அவைக் குழாத்து	327	328	344	345	1	RESOLVED	34	332	entry-151.md
152	பிரிவுரைக்கும் வன் கண்ணர்	329	330	346	347	1	RESOLVED	116	1156	entry-152.md
153	நாளென ஒன்று போல்	331	332	348	349	1	RESOLVED	34	334	entry-153.md
154	பிணிக்கு மருந்து	333	334	350	351	1	RESOLVED	111	1102	entry-154.md
155	உள்ளற்க உள்ளம்	335	336	352	353	1	RESOLVED	80	798	entry-155.md
156	அழுக்காறு உடையார்க்கு	337	338	354	355	1	RESOLVED	17	165	entry-156.md
157	பாலொடு தேன்கலந்து	339	340	356	357	1	RESOLVED	113	1121	entry-157.md
158	அ. கொலையிற் கொடியாரை / ஆ. கொலைமேற் கொண்டாரின்	341	342	358	359	2	RESOLVED	55,56	550,551	entry-158.md
159	நெஞ்சில் துறவார்	343	344	360	361	1	RESOLVED	28	276	entry-159.md
160	நிறைநெஞ்சம் இல்லவர்	345	346	362	363	1	RESOLVED	92	917	entry-160.md
161	வலியார்முன் தன்னை	347	348	364	365	1	RESOLVED	26	250	entry-161.md
162	எல்லைக்கண் நின்றார்	349	350	366	367	1	RESOLVED	81	806	entry-162.md
163	உவந்துறைவர் உள்ளத்துள்	351	352	368	369	1	RESOLVED	113	1130	entry-163.md
164	அ. தொகச்சொல்லித் தூவாத / ஆ. இறுதி பயப்பினும்	353	354	370	371	2	RESOLVED	69	685,690	entry-164.md
165	பொறாமை அஞ்சும்	355	356	372	373	1	RESOLVED	130	1295	entry-165.md
166	நிறைமொழி மாந்தர்	357	358	374	375	1	RESOLVED	3	28	entry-166.md
167	மேவிருந்தும் மேலல்லார்	359	360	376	377	1	RESOLVED	98	973	entry-167.md
168	காலைக்குச் செய்த நன்று	361	362	378	379	1	RESOLVED	123	1225	entry-168.md
169	வசையெனப வையத்தார்க்கு	363	364	380	381	1	RESOLVED	24	238	entry-169.md
170	பணியுமாம் என்றும்	365	366	382	383	1	RESOLVED	98	978	entry-170.md
171	ஊடி யவரை	367	368	384	385	1	RESOLVED	131	1304	entry-171.md
172	நிறைநீர் நீரவர்	369	370	386	387	1	RESOLVED	79	782	entry-172.md
173	துறந்தார் பெருமை	371	372	388	389	1	RESOLVED	3	22	entry-173.md
174	அ. இருபுனலும் வாய்ந்த / ஆ. உறுபசியும் ஓவா / இ. ஆங்கமை வெய்திய	373	374	390	391	3	RESOLVED	74	737,734,740	entry-174.md
175	வினைகலந்து வென்றீக	375	376	392	393	1	RESOLVED	127	1268	entry-175.md
176	மனைத்தக்க மாண்புடையள்	377	378	394	395	1	RESOLVED	6	51	entry-176.md
177	சாயலும் நாணும்	379	380	396	397	1	RESOLVED	119	1183	entry-177.md
178	கல்லார்ப் பிணிக்கும்	381	382	398	399	1	RESOLVED	57	570	entry-178.md
179	துப்பார்க்குத் துப்பாய	383	384	400	401	1	RESOLVED	2	12	entry-179.md
180	காமக் கடும்புனல்	385	387	402	404	1	RESOLVED	114	1134	entry-180.md
181	உறுவது சீர் தூக்கும்	388	390	405	407	1	RESOLVED	82	813	entry-181.md
182	தன்னுயிர்க்கு இன்னாமை	391	392	408	409	1	RESOLVED	32	318	entry-182.md
183	பன்மாயக் கள்வன்	393	394	410	411	1	RESOLVED	126	1258	entry-183.md
184	நெடும்புனலுள் வெல்லும்	395	396	412	413	1	RESOLVED	50	495	entry-184.md
185	கெடுவல்யான் என்பது	397	398	414	415	1	RESOLVED	12	116	entry-185.md
186	இன்கண் உடைத்தவர்	399	400	416	417	1	RESOLVED	116	1152	entry-186.md
187	அ. ஏற்றிற் குரியர் / ஆ. மக்களே போல்வர்	401	403	418	420	2	RESOLVED	108	1080,1071	entry-187.md
188	அ. நன்னீரை வாழி / ஆ. முறிமேனி முத்தம்	404	405	421	422	2	RESOLVED	112	1111,1113	entry-188.md
189	வினைவலியும் தன்வலியும்	406	407	423	424	1	RESOLVED	48	471	entry-189.md
190	குணமென்னுங் குன்றேறி	408	409	425	426	1	RESOLVED	3	29	entry-190.md
191	அ. புல்லி விடாஅப் / ஆ. ஊடுக மன்னோ	410	411	427	428	2	RESOLVED	133	1324,1329	entry-191.md
192	ஊக்கம் உடையான்	412	413	429	430	1	RESOLVED	49	486	entry-192.md
193	புறத்துறுப் பெல்லாம்	414	415	431	432	1	RESOLVED	8	79	entry-193.md
194	அ. நகையுள்ளும் இன்னாது / ஆ. பண்பிலான் பெற்ற	416	418	433	435	2	RESOLVED	100	995,1000	entry-194.md
195	வருகமன் கொண்கன்	419	420	436	437	1	RESOLVED	127	1266	entry-195.md
196	கொக்கொக்கக் கூம்பும்	421	422	438	439	1	RESOLVED	49	490	entry-196.md
197	அரிதாற்றி அல்லல்நோய்	423	424	440	441	1	RESOLVED	116	1160	entry-197.md
198	உறின்நட்டு அறின் ஒரூஉம்	425	426	442	443	1	RESOLVED	82	812	entry-198.md
199	மனத்துக்கண் மாசிலன்	427	428	444	445	1	RESOLVED	4	34	entry-199.md
200	கதுமெனத் தாம்நோக்கி	429	430	446	447	1	RESOLVED	118	1173	entry-200.md
201	இன்மையின் இன்னாது	431	432	448	449	1	RESOLVED	56	558	entry-201.md
202	ஈன்ற பொழுதின்	433	435	450	452	1	RESOLVED	7	69	entry-202.md
203	அ. கண்ணுள்ளார் காத / ஆ. இமைப்பின் கரப்பாக்கு	435	437	452	454	2	RESOLVED	113	1127,1129	entry-203.md
204	மயிர்நீப்பின் வாழா	438	439	455	456	1	RESOLVED	97	969	entry-204.md
205	பயன்தூக்கார் செய்த	440	441	457	458	1	RESOLVED	11	103	entry-205.md
206	ஏமுற்றவரினும்	442	444	459	461	1	RESOLVED	88	873	entry-206.md
207	முயங்கிய கைகளை	445	446	462	463	1	RESOLVED	124	1238	entry-207.md
208	செயற்கை அறிந்த	447	448	464	465	1	RESOLVED	64	637	entry-208.md
209	கண்ணிறைந்த காரிகை	449	450	466	467	1	RESOLVED	128	1272	entry-209.md
210	புறங்கூறிப் பொய்த்துயிர்	451	452	468	469	1	RESOLVED	19	183	entry-210.md
211	அணங்குகொல் ஆய்மயில்	453	454	470	471	1	RESOLVED	109	1081	entry-211.md
212	பகையகத்துப் பேடிகை	455	456	472	473	1	RESOLVED	73	727	entry-212.md
213	வசையிலா வண்பயன்	457	458	474	475	1	RESOLVED	24	239	entry-213.md
214	இற்றிறந்தார் கண்ணேயும்	459	460	476	477	1	RESOLVED	105	1044	entry-214.md
215	கொடும்புருவம் கோடா	461	461	478	478	1	RESOLVED	109	1086	entry-215.md
216	பணிவுடையன் இன்சொல்லன்	462	463	479	480	1	RESOLVED	10	95	entry-216.md
217	நிலத்தியல்பால் நீர்திரிந்து	464	465	481	482	1	RESOLVED	46	452	entry-217.md
218	அறிதோறு அறியாமை	466	467	483	484	1	RESOLVED	111	1110	entry-218.md
219	அங்கணத்துள் உக்க	468	469	485	486	1	RESOLVED	72	720	entry-219.md
220	ஐந்தவித்தான் ஆற்றல்	470	471	487	488	1	RESOLVED	3	25	entry-220.md
221	சலத்தால் பொருள் செய்து	472	473	489	490	1	RESOLVED	66	660	entry-221.md
222	இன்பம் கடல்மற்று	474	475	491	492	1	RESOLVED	117	1166	entry-222.md
223	கல்லாதான் சொற்கா	476	477	493	494	1	RESOLVED	41	402	entry-223.md
224	அன்பிற்கும் உண்டோ	478	479	495	496	1	RESOLVED	8	71	entry-224.md
225	வினையால் வினையாக்கி	480	481	497	498	1	RESOLVED	68	678	entry-225.md
226	நிறையரியர் மன் அளியர்	482	483	499	500	1	RESOLVED	114	1138	entry-226.md
227	எதிரார் குற்றம் போல்	484	485	501	502	1	RESOLVED	19	190	entry-227.md
228	உறாஅது தவர்போல்	486	487	503	504	1	RESOLVED	110	1096	entry-228.md
229	ஆக்கமுங் கேடும்	488	489	505	506	1	RESOLVED	65	642	entry-229.md
230	செற்றார்பின் செல்லா	490	491	507	508	1	RESOLVED	126	1255	entry-230.md
231	ஊழி பெயரினும்	492	493	509	510	1	RESOLVED	99	989	entry-231.md
232	உள்ளத்தார் காதலர்	494	495	511	512	1	RESOLVED	125	1249	entry-232.md
233	துன்பம் உறவரினும்	496	498	513	515	1	RESOLVED	67	669	entry-233.md
234	கூற்றம் குதித்தலும்	499	500	516	517	1	RESOLVED	27	269	entry-234.md
235	வெருவந்த செய் தொழுகும்	501	502	518	519	1	RESOLVED	57	563	entry-235.md
236	இனித்தக்க இன்னா	503	504	520	521	1	RESOLVED	129	1288	entry-236.md
237	நாண்அகத் தில்லார்	505	506	522	523	1	RESOLVED	102	1020	entry-237.md
238	எந்தன்றி கொன்றார்க்கும்	507	509	524	526	1	RESOLVED	11	110	entry-238.md
239	செவிகைப்பச் சொற்பொறுக்கும்	510	511	527	528	1	RESOLVED	39	389	entry-239.md
240	கண்டுகேட்டு உண்டுயிர்த்து	512	513	529	530	1	RESOLVED	111	1101	entry-240.md
241	கருமம் செயவொருவன்	514	515	531	532	1	RESOLVED	103	1021	entry-241.md
242	உரமொருவற்கு உள்ள	516	517	533	534	1	RESOLVED	60	600	entry-242.md
243	உயிர்உடம்பின் நீக்கியார்	518	519	535	536	1	RESOLVED	33	330	entry-243.md
244	ஒளியார்முன் ஒள்ளிய	520	521	537	538	1	RESOLVED	72	714	entry-244.md
245	மிகுதியான் மிக்கவை	522	523	539	540	1	RESOLVED	16	158	entry-245.md
246	பண்ணென்னாம் பாடற்கு	524	525	541	542	1	RESOLVED	58	573	entry-246.md
247	உழந்துழந்து உள்நீர்	526	527	543	544	1	RESOLVED	118	1177	entry-247.md
248	குடிசெய்வார்க்கு இல்லை	528	529	545	546	1	RESOLVED	103	1028	entry-248.md
249	விருந்து புறத்ததா	530	531	547	548	1	RESOLVED	9	82	entry-249.md
250	உள்ளுவ தெல்லாம்	532	534	549	551	1	RESOLVED	60	596	entry-250.md
251	மலரன்ன கண்ணாள்	535	536	552	553	1	RESOLVED	115	1142	entry-251.md
252	நிழல்நீரும் இன்னாத	537	538	554	555	1	RESOLVED	89	881	entry-252.md
253	அ. இயற்றலும் ஈட்டலும் / ஆ. பகுத்துண்டு பல்லுயிர்	539	541	556	558	2	RESOLVED	39,33	385,322	entry-253.md
254	காக்கை கரவா	542	543	559	560	1	RESOLVED	53	527	entry-254.md
255	மணியில் திகழ்தரு	544	546	561	563	1	RESOLVED	128	1273	entry-255.md
256	ஆகாறு அளவிட்டி	547	548	564	565	1	RESOLVED	48	478	entry-256.md
257	மக்கள்மெய் தீண்டல்	549	550	566	567	1	RESOLVED	7	65	entry-257.md
258	அ. உற்றவன் தீர்ப்பான் / ஆ. மருந்தென வேண்டாவாம் / இ. நோய்நாடி நோய்முதல்	551	552	568	569	3	RESOLVED	95	950,942,948	entry-258.md
259	மாலையோ அல்லை	553	554	570	571	1	RESOLVED	123	1221	entry-259.md
260	மருவுக மாசற்றார்	555	556	572	573	1	RESOLVED	80	800	entry-260.md
261	கண்டொடு கண்ணிணை	557	559	574	576	1	RESOLVED	110	1100	entry-261.md
262	ஏந்திய கொள்கையார்	560	561	577	578	1	RESOLVED	90	899	entry-262.md
263	தற்காத்துத் தற்கொண்டான்	562	563	579	580	1	RESOLVED	6	56	entry-263.md
264	பிறப்பொக்கும் எல்லா	564	565	581	582	1	RESOLVED	98	972	entry-264.md
